SCR,Realized_Delta_BOF
"tensor(856034.1700, dtype=torch.float64)",1306435.8699775226
"tensor(863357.8001, dtype=torch.float64)",1343184.772324932
"tensor(860587.2559, dtype=torch.float64)",1306412.3212240618
"tensor(858669.7669, dtype=torch.float64)",1299678.6279760334
"tensor(853693.0787, dtype=torch.float64)",1291122.1644423571
"tensor(857355.6513, dtype=torch.float64)",1293680.6916605572
"tensor(874999.2221, dtype=torch.float64)",1299446.032786349
"tensor(865135.6202, dtype=torch.float64)",1292333.8052450211
"tensor(863679.1433, dtype=torch.float64)",1300497.2809871582
"tensor(867664.5078, dtype=torch.float64)",1287935.5001403168
"tensor(861636.9100, dtype=torch.float64)",1280233.548610683
"tensor(861637.6221, dtype=torch.float64)",1281273.1759440566
"tensor(863857.0202, dtype=torch.float64)",1273944.2460015179
"tensor(850652.6605, dtype=torch.float64)",1276813.5019796123
"tensor(863698.6587, dtype=torch.float64)",1267165.1027713332
"tensor(856960.6150, dtype=torch.float64)",1263346.4071320475
"tensor(862203.5613, dtype=torch.float64)",1276916.2413776857
"tensor(870424.1578, dtype=torch.float64)",1271010.3625866664
"tensor(859938.6614, dtype=torch.float64)",1239355.625202857
"tensor(860908.7858, dtype=torch.float64)",1243657.26728797
"tensor(860438.0844, dtype=torch.float64)",1242996.3900756754
"tensor(860977.5782, dtype=torch.float64)",1228961.8682600018
"tensor(868991.4725, dtype=torch.float64)",1198576.29083029
"tensor(863192.8419, dtype=torch.float64)",1204934.0205073562
"tensor(862595.1667, dtype=torch.float64)",1233012.251344821
"tensor(858001.5471, dtype=torch.float64)",1249052.724282781
"tensor(865593.0973, dtype=torch.float64)",1251558.3924344315
"tensor(861662.5704, dtype=torch.float64)",1235309.517554708
"tensor(857837.1480, dtype=torch.float64)",1238128.4963329206
"tensor(869998.6959, dtype=torch.float64)",1244657.311475121
"tensor(862428.2388, dtype=torch.float64)",1241168.6751083024
"tensor(854319.0769, dtype=torch.float64)",1245477.3534864476
"tensor(867265.8651, dtype=torch.float64)",1247672.8769629158
"tensor(862466.3400, dtype=torch.float64)",1245905.3322710344
"tensor(864384.7396, dtype=torch.float64)",1245370.0670665617
"tensor(868936.9442, dtype=torch.float64)",1247411.305584739
"tensor(857946.0272, dtype=torch.float64)",1238527.5215402613
"tensor(861374.8146, dtype=torch.float64)",1225338.9702366695
"tensor(863499.2333, dtype=torch.float64)",1190379.1143609185
"tensor(854183.2934, dtype=torch.float64)",1161848.1884542336
"tensor(861687.5598, dtype=torch.float64)",1150436.860539366
"tensor(856513.0192, dtype=torch.float64)",1093820.9414808305
"tensor(861412.8242, dtype=torch.float64)",1075858.0347237084
"tensor(856755.9732, dtype=torch.float64)",1102802.9554639268
"tensor(853703.4774, dtype=torch.float64)",1082287.6290027085
"tensor(865546.3265, dtype=torch.float64)",1123469.4355684712
"tensor(863795.9058, dtype=torch.float64)",1080255.032921452
"tensor(864991.6329, dtype=torch.float64)",1047951.9225701457
"tensor(864256.5819, dtype=torch.float64)",960980.6691990084
"tensor(864406.3377, dtype=torch.float64)",993801.0639448387
"tensor(862257.3215, dtype=torch.float64)",956956.363544892
"tensor(857505.2256, dtype=torch.float64)",874507.635880919
"tensor(864223.5253, dtype=torch.float64)",927040.6106842799
"tensor(858245.6853, dtype=torch.float64)",837408.7463634739
"tensor(852502.2583, dtype=torch.float64)",879111.958776794
"tensor(863509.8287, dtype=torch.float64)",852269.1112100575
"tensor(864224.3776, dtype=torch.float64)",875470.2063319982
"tensor(861698.9069, dtype=torch.float64)",844576.1602622755
"tensor(854436.7963, dtype=torch.float64)",814843.7045759911
"tensor(865267.6667, dtype=torch.float64)",881350.9858206067
"tensor(868845.9485, dtype=torch.float64)",894264.4779455446
"tensor(864561.2469, dtype=torch.float64)",911862.1678976791
"tensor(855122.8639, dtype=torch.float64)",883242.193233439
"tensor(869469.7546, dtype=torch.float64)",905823.2803583369
"tensor(857377.0576, dtype=torch.float64)",900786.4975293042
"tensor(860173.5913, dtype=torch.float64)",867476.9130372568
"tensor(859388.1538, dtype=torch.float64)",884649.1753063966
"tensor(869391.4374, dtype=torch.float64)",881894.4573403556
"tensor(853032.9510, dtype=torch.float64)",931160.2102358829
"tensor(853362.8801, dtype=torch.float64)",931303.8281827652
"tensor(843955.1859, dtype=torch.float64)",953363.1095093541
"tensor(863411.2998, dtype=torch.float64)",960493.7901150187
"tensor(860901.2608, dtype=torch.float64)",973740.3387079501
"tensor(856633.8150, dtype=torch.float64)",957849.3761775454
"tensor(865353.0508, dtype=torch.float64)",960064.955831418
"tensor(860345.1684, dtype=torch.float64)",972791.0487659359
"tensor(862886.1589, dtype=torch.float64)",964191.8438762829
"tensor(862453.5743, dtype=torch.float64)",932564.2069306639
"tensor(864247.4731, dtype=torch.float64)",950758.5897987997
"tensor(867920.9806, dtype=torch.float64)",953112.6952084757
"tensor(860806.8615, dtype=torch.float64)",963036.5582587816
"tensor(860473.7504, dtype=torch.float64)",983218.7219428833
"tensor(856727.6965, dtype=torch.float64)",977149.1338643812
"tensor(860509.2310, dtype=torch.float64)",1003732.1447607736
"tensor(866937.9071, dtype=torch.float64)",999775.2811188892
"tensor(860834.5431, dtype=torch.float64)",979153.70163595
"tensor(863036.4911, dtype=torch.float64)",1004119.4044569484
"tensor(855341.4905, dtype=torch.float64)",1000698.1531306698
"tensor(873905.4874, dtype=torch.float64)",1031243.5366411438
"tensor(858091.0551, dtype=torch.float64)",1031281.7397345983
"tensor(858868.2732, dtype=torch.float64)",1028906.2936545248
"tensor(857718.2984, dtype=torch.float64)",1000765.0693737458
"tensor(871920.3363, dtype=torch.float64)",989150.6104470387
"tensor(856984.2709, dtype=torch.float64)",998222.8452476485
"tensor(862312.6985, dtype=torch.float64)",997288.3250369594
"tensor(867230.3004, dtype=torch.float64)",1024106.975088016
"tensor(864423.9882, dtype=torch.float64)",1023292.6761787677
"tensor(866266.1389, dtype=torch.float64)",1035515.223796167
"tensor(872811.8828, dtype=torch.float64)",1029673.2002287621
"tensor(859719.6978, dtype=torch.float64)",1037701.3983848256
"tensor(867846.5742, dtype=torch.float64)",1049307.8046523184
"tensor(866137.2138, dtype=torch.float64)",1054320.530590288
"tensor(860501.1051, dtype=torch.float64)",1078808.1264787284
"tensor(870988.5703, dtype=torch.float64)",1082774.3261931476
"tensor(849589.3355, dtype=torch.float64)",1062085.7419343037
"tensor(859236.4977, dtype=torch.float64)",1062106.4621373105
"tensor(855909.4837, dtype=torch.float64)",1066652.063616717
"tensor(851157.7305, dtype=torch.float64)",1074149.090920582
"tensor(867473.6061, dtype=torch.float64)",1054134.3876063381
"tensor(855455.7539, dtype=torch.float64)",1077742.465658022
"tensor(858809.1689, dtype=torch.float64)",1092384.5901519468
"tensor(856617.9552, dtype=torch.float64)",1075158.2551379907
"tensor(864350.2750, dtype=torch.float64)",1070094.2058380505
"tensor(860579.5131, dtype=torch.float64)",1014438.9475067433
"tensor(861276.6662, dtype=torch.float64)",1018143.3022834228
"tensor(865130.0454, dtype=torch.float64)",1016590.3649849573
"tensor(860479.6708, dtype=torch.float64)",1038816.3477258467
"tensor(853160.9344, dtype=torch.float64)",1044831.1987052667
"tensor(852806.8477, dtype=torch.float64)",1050421.0017888593
"tensor(868523.6272, dtype=torch.float64)",1057128.1486015855
"tensor(868430.6964, dtype=torch.float64)",1057243.3539142227
"tensor(869633.2160, dtype=torch.float64)",1053057.3591373418
"tensor(868637.2963, dtype=torch.float64)",1028099.029253041
"tensor(862178.7061, dtype=torch.float64)",1027753.9581249877
"tensor(861925.0091, dtype=torch.float64)",1006293.0004586579
"tensor(866995.3505, dtype=torch.float64)",1003496.5415507014
"tensor(866990.5510, dtype=torch.float64)",1015730.0150087351
"tensor(863522.2301, dtype=torch.float64)",1016471.7322912293
"tensor(852339.7412, dtype=torch.float64)",1031577.9065745509
"tensor(863497.5199, dtype=torch.float64)",1029216.8419141332
"tensor(864194.8219, dtype=torch.float64)",1040380.4714559437
"tensor(862156.7047, dtype=torch.float64)",1031863.4265663002
"tensor(863260.3899, dtype=torch.float64)",1028896.548260565
"tensor(856418.8941, dtype=torch.float64)",1026826.8446379628
"tensor(865210.6362, dtype=torch.float64)",1032555.8381162587
"tensor(869842.3141, dtype=torch.float64)",1030272.3579795199
"tensor(854777.2239, dtype=torch.float64)",1034502.2095666281
"tensor(857948.1628, dtype=torch.float64)",1047597.6499267678
"tensor(870289.1099, dtype=torch.float64)",1040396.5435164035
"tensor(862692.9841, dtype=torch.float64)",1031267.5843698931
"tensor(874891.1160, dtype=torch.float64)",1033708.9313044654
"tensor(866345.9164, dtype=torch.float64)",1039706.2729793251
"tensor(855229.7271, dtype=torch.float64)",1025990.0904871422
"tensor(863208.9751, dtype=torch.float64)",1019126.9335461207
"tensor(861179.3068, dtype=torch.float64)",1014124.367188927
"tensor(858541.7203, dtype=torch.float64)",1016489.1663479597
"tensor(857292.6376, dtype=torch.float64)",1015304.4655936932
"tensor(859125.1183, dtype=torch.float64)",1035063.9494454219
"tensor(853949.3885, dtype=torch.float64)",1059989.0992892077
"tensor(862712.7297, dtype=torch.float64)",1051918.2895494893
"tensor(864219.6818, dtype=torch.float64)",1068808.9989189836
"tensor(845953.2278, dtype=torch.float64)",1054787.486546767
"tensor(868597.0108, dtype=torch.float64)",1057750.1717031382
"tensor(859118.3499, dtype=torch.float64)",1073692.2752853094
"tensor(859711.6487, dtype=torch.float64)",1065481.0744239555
"tensor(853328.9404, dtype=torch.float64)",1090495.390112017
"tensor(864941.0295, dtype=torch.float64)",1087341.7835832755
"tensor(861163.4588, dtype=torch.float64)",1084811.9366147257
"tensor(856853.9701, dtype=torch.float64)",1068591.0495723719
"tensor(859031.2057, dtype=torch.float64)",1072285.4959079125
"tensor(849225.2626, dtype=torch.float64)",1065584.0641596804
"tensor(867476.2393, dtype=torch.float64)",1063897.3898854256
"tensor(858822.4562, dtype=torch.float64)",1085139.1390029036
"tensor(852142.9674, dtype=torch.float64)",1083164.8146285561
"tensor(866369.1917, dtype=torch.float64)",1089187.2295812634
"tensor(851762.1369, dtype=torch.float64)",1091233.565710747
"tensor(872984.7665, dtype=torch.float64)",1081156.7584382081
"tensor(860428.0427, dtype=torch.float64)",1083855.9246213816
"tensor(862660.5572, dtype=torch.float64)",1081493.9560976594
"tensor(857024.6718, dtype=torch.float64)",1082291.2515179394
"tensor(856054.7387, dtype=torch.float64)",1071242.1201272118
"tensor(859962.1193, dtype=torch.float64)",1065016.8116535982
"tensor(859079.3776, dtype=torch.float64)",1085902.546852719
"tensor(863457.4912, dtype=torch.float64)",1057692.318545884
"tensor(862177.1895, dtype=torch.float64)",1047781.7551253454
"tensor(865189.9896, dtype=torch.float64)",1052332.2057564775
"tensor(868082.0450, dtype=torch.float64)",1035146.2130953735
"tensor(858960.4191, dtype=torch.float64)",1041788.1315310806
"tensor(865003.8636, dtype=torch.float64)",1047216.0030329573
"tensor(865860.5701, dtype=torch.float64)",1056348.483582408
"tensor(863247.6350, dtype=torch.float64)",1057665.2143530052
"tensor(867199.2247, dtype=torch.float64)",1048708.8523338882
"tensor(856001.3488, dtype=torch.float64)",1036372.86618161
"tensor(867235.4266, dtype=torch.float64)",1029977.0543014397
"tensor(852824.3669, dtype=torch.float64)",1045105.5536381551
