Realized_Delta_BOF,SCR_Values
140624.03143451607,-136256.83676000865
148740.8875457464,-130550.01437595066
146156.7946051549,-134189.85289278746
143472.75647428748,-125930.45715895036
140659.07499658782,-127597.88283951342
137986.79752264253,-131681.9709397224
138454.94483721466,-131498.69168937608
136223.04731919686,-130919.9850930795
135881.31691249553,-132016.87572792207
134213.87576534064,-124806.06271312114
133007.04513086786,-133123.75540373358
133729.37115997658,-128908.00777228658
131978.5885376206,-129938.11219053893
131587.26601040643,-126845.98115757963
129352.22372150619,-125277.40464042196
128977.62078410713,-129815.90717786874
133096.38707107469,-125969.35407569332
132063.9357269546,-128864.69481461967
127478.52182527818,-127886.7005551367
125455.6115094705,-126646.07194521866
129262.61719837983,-130114.9232883845
127419.58112172829,-129947.05147649202
122946.30368236883,-133621.99010825416
123114.92987332353,-130670.65983906215
127075.83454074792,-133842.56001418468
129262.52071625157,-129495.60663331157
129766.2279458819,-127659.79284669789
129247.5823822217,-134367.3740056138
131333.51514519402,-127191.17063824146
131949.84628506063,-125402.3662467794
130967.55876614561,-130283.09160178018
132347.84151878813,-127565.80252311664
134176.62781683612,-130124.00570439985
134417.90613034694,-133597.06177110472
135353.94676031568,-127887.0978255984
135538.3658309473,-125537.16771715488
134835.11131663655,-127901.97965849766
132246.85948626883,-125055.32910021409
127003.50529915316,-128665.12625532149
121060.54825018079,-126598.6581923455
117826.83427507384,-128199.99272793232
101222.26179042296,-137538.3276657359
95394.82267530437,-128848.57662487884
99631.45439053641,-131213.1340264351
98048.50051703001,-125837.19308384875
108017.45959251735,-131855.85547200486
98946.25446416228,-131055.79044774387
90999.0764908368,-134026.02549370247
63588.99989511038,-124664.86278453768
62089.66429613216,-133445.9338674014
51915.64573713811,-132372.14209076916
12224.979421393946,-125447.30925365712
16471.85133961856,-125988.65173860369
-18642.325633052853,-135685.885216833
-22376.811424600543,-124349.85793398402
-47402.09390215785,-133466.13549276328
-41155.922261344735,-132950.82400568837
-40931.127943685045,-127275.7148047574
-53893.80933985324,-128885.60725547218
-31671.565710266237,-129104.03498714547
-24794.516010838444,-130524.2611486298
-8624.272861700272,-126977.45252315664
-12804.455900584115,-134151.44058971867
-5581.083938617725,-129779.98557561245
-6654.266041543102,-126768.95563708377
-16224.693391765119,-134878.466375211
-12623.164810339455,-128496.6817334422
-14651.199429901899,-127517.69347745809
-4252.683280728525,-134926.8266602488
-2836.1557958819903,-125245.85096903994
5629.123402619152,-129159.10118059706
16476.96175719041,-130072.58318819122
22103.48672149377,-126414.31601304558
18876.301166968886,-125374.78155371889
17809.730330952327,-126523.41167809347
23432.746710066916,-129337.50170738902
15803.000740865129,-123937.11509367288
7129.291860081488,-127000.16046487607
7971.642429245403,-133698.30239594693
12447.699105906067,-120680.34294423647
16105.710138334194,-127951.85512602454
21000.78770816524,-126784.49402214545
22313.148939430597,-130856.36147973679
30083.056311117718,-130892.53150029709
30002.909086045693,-128569.52628435247
21454.32092102908,-126609.10789705916
28425.655264873058,-128367.25413700579
23867.214984713588,-130513.6944532963
33037.50427024241,-133302.32003194388
33478.463614485925,-132243.39889779384
29402.625566785573,-125994.32166370659
22927.42137811694,-132151.72403963003
20350.125818162807,-130725.75086941785
21050.13267245423,-130115.08656475303
20504.14368551981,-131660.71940788554
28582.735847305274,-126781.9937268619
30683.970982086612,-124466.24400662113
33653.443209872465,-126300.21846243161
33594.990909582935,-127405.52049639754
36096.02559600433,-130726.4621389343
39377.688825937454,-125843.38788906232
41661.44851750322,-132339.31761861368
46596.284663930535,-120853.52622793542
48497.16593611415,-121066.59659605377
44922.97489207715,-124537.23378187422
43697.68980700476,-125111.03278646921
48535.825759026804,-124917.6743257051
48796.807576887775,-125871.96419119599
45661.39866281825,-123983.1732305578
53118.60514293064,-126274.24019836329
58129.943246493116,-131604.7686503218
51106.27972246648,-128078.38678500552
48591.387461593724,-120037.13750624687
37160.427466371446,-124373.63955134092
34621.418286661734,-127046.95337641929
35383.81204795465,-125520.75054761766
41504.21559578285,-122257.30877840018
45355.835173456464,-126679.431050772
45948.981339875376,-128866.47989676821
45991.196595877525,-127039.06202869484
47979.63550769549,-130173.40703281754
45764.03031874844,-124604.63510856373
37601.78521095298,-119470.93470197094
35370.02943347825,-126612.40056182691
30119.716848735698,-126240.86760901152
24820.94109094923,-124314.9839171391
27076.024972306564,-131819.94920282776
30065.543186456664,-124031.9808957337
35951.797491807956,-125929.2844354598
35727.93252516608,-127952.77686689942
41334.99041463563,-130796.22527748627
41251.506806688616,-129431.8928730584
41787.73177447135,-126840.64964624445
39800.39713853435,-122656.11464989992
41964.663957212004,-125595.04029910153
38347.11107688071,-124912.35316939722
39266.30862733256,-125515.468293302
42357.851744427,-124384.36892556511
41214.88172729546,-128290.31092667049
38171.01170467143,-118985.50842615272
38999.96758983785,-118323.15727590106
42751.50509361224,-126549.22837088355
42354.27727566089,-126823.67370657451
39644.585576583166,-127547.28057384872
38086.2771426182,-125219.64861726147
37233.10072672577,-121303.57395085912
36898.09291169804,-123693.42445155495
41044.46717852075,-126237.35564632251
46229.98376522225,-127405.42275595939
44397.12207159225,-126291.01963628507
44010.953687925125,-120172.38824662067
45957.79703592521,-120741.87024794571
48564.87092195486,-124488.88842618649
50683.52632644703,-131807.74899152736
48614.62018183607,-125150.2649175816
51864.64439869975,-116840.8240591077
45811.90504889446,-126592.59216074586
44931.92916926299,-126406.42021724509
40928.40351931786,-122829.2289294193
39464.97091404337,-128899.74903217427
38532.45868137048,-125541.99933662028
38617.51780789939,-123725.01923766547
40687.097082174616,-123492.37194523992
43088.65995991521,-121616.13573498624
40497.75873309991,-126812.07611888199
39300.41949391365,-120306.84670012978
35203.646416276344,-132113.96292476775
35520.800697034225,-120263.8986561491
33350.131240874296,-121892.78040061155
33005.511531099095,-124045.63315831231
31268.786755519686,-116527.60321353281
36038.45804876345,-124737.50863038399
41741.922235089936,-126727.68861125017
41538.631512916065,-123941.33044761876
36559.532713033725,-126373.5107977691
36048.18850212637,-126931.04880450144
32150.115816839272,-133673.05656809564
38084.656323821284,-122623.58072894643
38221.946220257785,-124372.42280745677
40165.64310952218,-127510.92690720694
39171.0285847669,-122126.75105703797
37847.10416966956,-129262.07574490942
33019.30154457595,-118729.6871964563
27081.322998343618,-123510.38669796711
28255.683646141086,-122009.40115607223
25468.185260815662,-124694.19758526894
22265.304335006746,-127085.3935270693
25308.463755533332,-125553.46292610683
28704.05682706507,-127341.95577760764
29767.62736756075,-121990.58266377302
36714.58160739264,-121528.97301987236
36601.597050411045,-120828.56513469567
32865.55816472089,-117134.44012043206
