Realized_Delta_BOF,SCR_Values
140624.03143451600,-159805.878066123
148740.8875457460,-159974.69015530300
146156.7946051550,-159852.6239395570
143472.75647428700,-158526.4372640430
140659.07499658800,-158405.1130614110
137986.79752264300,-158297.47648088900
138454.94483721500,-158013.28204483500
136223.04731919700,-157887.30626676400
135881.31691249600,-157702.73541648200
134213.87576534100,-157283.93956718300
133007.04513086800,-157182.0988902380
133729.37115997700,-157129.40330484000
131978.5885376210,-156993.38035833100
131587.26601040600,-156949.59242561400
129352.22372150600,-156785.0854524630
128977.62078410700,-156709.52861167400
133096.38707107500,-156795.3758446660
132063.9357269550,-155600.3539442140
127478.52182527800,-156096.55802706600
125455.6115094710,-154989.00649819200
129262.61719838000,-155054.7841350910
127419.58112172800,-155018.35695052100
122946.30368236900,-154929.58566707800
123114.92987332400,-154908.9898521340
127075.83454074800,-154939.10020682800
129262.52071625200,-154946.37362962100
129766.2279458820,-154904.30681333400
129247.5823822220,-154853.03700916900
131333.51514519400,-154797.25889375000
131949.84628506100,-154744.9784302500
130967.55876614600,-154676.21921511600
132347.84151878800,-154633.87591759200
134176.62781683600,-154746.94762914500
134417.90613034700,-154746.7595010110
135353.94676031600,-154814.9204380960
135538.3658309470,-153661.0693853720
134835.11131663700,-153626.54948493300
132246.85948626900,-153553.3959642470
127003.50529915300,-153693.50063641900
121060.54825018100,-153716.58273485400
117826.83427507400,-153699.3284109980
101222.26179042300,-153594.93901308000
95394.82267530440,-153552.5440497590
99631.45439053640,-153424.41964819500
98048.50051703000,-153301.52343146700
108017.45959251700,-153323.3262799560
98946.25446416230,-153186.96305677000
90999.0764908368,-153130.4036110620
63588.99989511040,-152669.5567571890
62089.66429613220,-152624.29297294400
51915.64573713810,-152536.55924125300
12224.979421393900,-152426.1656376610
16471.85133961860,-152432.29749414900
-18642.325633052900,-152402.7506754250
-22376.811424600500,-152238.62770628800
-47402.09390215790,-152137.3583577310
-41155.922261344700,-152692.0946608710
-40931.127943685000,-152537.25251383000
-53893.80933985320,-153618.45325000800
-31671.565710266200,-153669.63362474100
-24794.516010838400,-153642.6692588680
-8624.272861700270,-153646.14990756100
-12804.455900584100,-153551.11684446700
-5581.083938617730,-153599.35102102200
-6654.266041543100,-153535.0936574040
-16224.693391765100,-153489.39620481200
-12623.164810339500,-153518.62662750200
-14651.199429901900,-153514.19099942000
-4252.683280728530,-153385.74517479900
-2836.1557958819900,-155733.43225826600
5629.123402619150,-155826.01053819900
16476.96175719040,-156495.99029640100
22103.48672149380,-157412.05228518200
18876.301166968900,-156570.57794907300
17809.730330952300,-156391.91086972800
23432.746710066900,-156372.25350590100
15803.000740865100,-156201.8127697030
7129.291860081490,-155712.01674189500
7971.642429245400,-155624.6146643790
12447.699105906100,-155631.18925570800
16105.710138334200,-155617.23458355200
21000.78770816520,-155677.06198226000
22313.148939430600,-155603.9261056810
30083.056311117700,-155635.02651127100
30002.909086045700,-153479.35583414600
21454.32092102910,-153546.0494459810
28425.655264873100,-153683.30201641400
23867.214984713600,-155805.9173971540
33037.50427024240,-153823.5285837270
33478.463614485900,-155921.6940330340
29402.625566785600,-155782.66766811400
22927.42137811690,-155672.43003074100
20350.125818162800,-157534.07438377100
21050.13267245420,-157646.25200280600
20504.14368551980,-157609.09942598200
28582.735847305300,-157600.38607903300
30683.970982086600,-157643.5193408780
33653.443209872500,-159061.4526551740
33594.990909582900,-158882.90877542200
36096.02559600430,-158895.47881136800
39377.688825937500,-158902.14494767300
41661.44851750320,-158888.5695307840
46596.284663930500,-158792.17709066700
48497.16593611420,-158730.2715420110
44922.97489207720,-158658.03263209600
43697.68980700480,-158559.92041487800
48535.825759026800,-158562.07704774600
48796.807576887800,-158488.85336096900
45661.39866281830,-158540.5053783730
53118.60514293060,-158452.17043303100
58129.943246493100,-157649.8154426520
51106.27972246650,-157257.67901005500
48591.387461593700,-157174.85927459200
37160.427466371400,-157170.40046133000
34621.418286661700,-156413.3461749230
35383.81204795470,-156432.92749533400
41504.21559578290,-156279.00531213900
45355.835173456500,-157259.02546154000
45948.981339875400,-156891.01886617400
45991.196595877500,-156882.42861316300
47979.63550769550,-156998.72091087100
45764.03031874840,-156926.59246792100
37601.78521095300,-156299.44121674500
35370.02943347830,-156117.33203571700
30119.716848735700,-155985.42864468000
24820.94109094920,-155750.86168212700
27076.024972306600,-155700.12092384200
30065.543186456700,-155971.68777373100
35951.797491808000,-155976.26818025100
35727.93252516610,-156008.89874016800
41334.99041463560,-156098.53802652400
41251.506806688600,-156217.2377484060
41787.73177447140,-156232.5065830510
39800.39713853440,-156098.02529890600
41964.663957212000,-156105.34985452400
38347.11107688070,-154587.3633452240
39266.30862733260,-154505.9769129100
42357.851744427,-154512.76811397100
41214.88172729550,-154276.25098809500
38171.01170467140,-154168.7936714780
38999.96758983790,-154001.63571139100
42751.50509361220,-153705.53978183100
42354.27727566090,-153673.5424132840
39644.585576583200,-152108.72066377300
38086.2771426182,-152201.25299212100
37233.10072672580,-152140.9358157860
36898.09291169800,-152005.51755776100
41044.46717852080,-152073.48390827700
46229.98376522230,-154100.36061972500
44397.12207159230,-154001.7575798620
44010.953687925100,-153267.37450968600
45957.79703592520,-153274.24860408000
48564.87092195490,-153494.59863811100
50683.52632644700,-153361.77898478700
48614.62018183610,-153283.47765552200
51864.64439869980,-153155.56232375800
45811.90504889450,-152294.42369811800
44931.92916926300,-151603.31837337400
40928.40351931790,-151627.50801123500
39464.97091404340,-151551.40091426800
38532.45868137050,-151450.93146929200
38617.51780789940,-155272.6705253170
40687.097082174600,-152808.2274965400
43088.65995991520,-152787.07706633300
40497.75873309990,-152576.1924757890
39300.41949391370,-153909.93438625000
35203.646416276300,-153890.7132359970
35520.800697034200,-153800.33732337600
33350.131240874300,-152377.2287129560
33005.511531099100,-152284.565795613
31268.786755519700,-152299.38586847200
36038.45804876350,-152433.3591570980
41741.922235089900,-152277.9127707620
41538.631512916100,-154954.05661802600
36559.532713033700,-155080.3662049620
36048.18850212640,-154932.01504577400
32150.115816839300,-154920.3903182970
38084.656323821300,-155370.25521606800
38221.946220257800,-155280.95255432100
40165.64310952220,-155308.74057926600
39171.0285847669,-155172.46668595700
37847.10416966960,-155133.31752809400
33019.30154457600,-155060.01314544500
27081.322998343600,-155273.7689761480
28255.683646141100,-155203.4777477910
25468.185260815700,-154308.77380505000
22265.304335006700,-153734.9120098750
25308.463755533300,-153779.4552306520
28704.05682706510,-153686.81579305700
29767.62736756080,-152413.98564248200
36714.58160739260,-152822.69807988300
36601.597050411000,-152680.6321648370
32865.55816472090,-152592.23169163900
35782.66564458000,-154028.9926594120
37597.47628142480,-152687.1621047940
38935.209231416300,-154137.24754079400
45404.970924445200,-155285.3302751110
44260.314779337500,-155194.8164453020
47418.551962888900,-155156.68412440300
46163.1284985824,-155084.1879407350
45697.62916886340,-154872.98627405700
44337.868377946100,-154840.00427269800
45173.34943135890,-154901.72496991400
43169.75878886410,-154479.0775166270
40322.36380669650,-154346.62214505800
36051.65429526850,-154280.63910310900
34676.82790972190,-154237.5658027370
37063.69362348200,-154289.31657110300
34466.81034780590,-154350.0405441900
33661.568905540600,-154297.6383125470
24060.73536456030,-154273.94816960000
25764.111311459200,-154088.9544822580
23902.601148148500,-154120.3194458730
