Window,SCR_Values
0,-159968.4176115600
1,-160099.20857445500
2,-159999.91657830000
3,-159919.64748242800
4,-159837.86079288700
5,-159700.44657953100
6,-159659.50249603000
7,-159571.15998512700
8,-159576.53832296100
9,-159462.4228982270
10,-159376.17933296100
11,-159332.19739623000
12,-159218.54860458300
13,-159190.03922753600
14,-159035.76057396200
15,-158974.40603828500
16,-159035.90335237100
17,-158086.12584118900
18,-158002.85729901100
19,-157767.1634733520
20,-157812.1510212720
21,-157767.9405865330
22,-157661.7846620910
23,-157635.90734944100
24,-157689.26592076400
25,-157701.41950104100
26,-157659.35524492900
27,-157594.6730338760
28,-157864.40551391300
29,-157843.51290462000
30,-157757.17306191900
31,-157709.63505647800
32,-158594.48523190500
33,-158573.8189906370
34,-158641.88071764000
35,-158540.01712628300
36,-158504.33191728800
37,-158440.2879226190
38,-158558.8360466450
39,-158577.36405224900
40,-158131.16713052500
41,-158032.26111023500
42,-158008.3840469570
43,-157948.26005078300
44,-157826.4363068470
45,-157870.10594152300
46,-157786.72781398600
47,-157718.97110739300
48,-157131.77013622400
49,-157066.0081505020
50,-156983.125328194
51,-156884.52838180000
52,-156906.2443068070
53,-156895.54330468400
54,-156751.82299227200
55,-156659.72052033700
56,-156726.6467407630
57,-156589.20722199100
58,-157046.0776717090
59,-157083.9438135470
60,-157036.40548928
61,-157032.3733707250
62,-156951.55680475700
63,-156986.63720670900
64,-156922.34397799400
65,-156848.6209317470
66,-156856.61968458700
67,-156841.4224455610
68,-156747.53163517900
69,-157603.74518731500
70,-157697.5823160260
71,-157727.1740592210
72,-158544.1492601880
73,-158594.45771764700
74,-158451.38177354000
75,-158395.44179890400
76,-158272.34222863100
77,-157367.46878909400
78,-157265.29780935400
79,-157241.98168701700
80,-157225.7162414160
81,-157294.15988041800
82,-157946.69211475700
83,-157996.5704091380
84,-157249.616355637
85,-157330.35478959300
86,-157468.2369146750
87,-157259.19138012700
88,-157603.87649542000
89,-157338.82371500000
90,-157252.83257827700
