SCR,Realized_Delta_BOF
"tensor(949342.9337, dtype=torch.float64)",1062751.9177235242
"tensor(954640.7936, dtype=torch.float64)",1068355.5651546107
"tensor(952778.1939, dtype=torch.float64)",1075595.7082763512
"tensor(954108.9725, dtype=torch.float64)",1077008.182211186
"tensor(952469.3812, dtype=torch.float64)",1077032.9302747988
"tensor(952013.8203, dtype=torch.float64)",1073466.938537629
"tensor(951045.2327, dtype=torch.float64)",1070278.4135456865
"tensor(951569.3963, dtype=torch.float64)",1070307.7359142974
"tensor(951593.1214, dtype=torch.float64)",1064923.401894057
"tensor(951865.5235, dtype=torch.float64)",1065274.2962052387
"tensor(952253.5056, dtype=torch.float64)",1066635.5903571332
"tensor(949312.0737, dtype=torch.float64)",1066367.733234065
"tensor(956156.6636, dtype=torch.float64)",1066607.2787414338
"tensor(954000.9259, dtype=torch.float64)",1066550.4242241292
"tensor(951387.4028, dtype=torch.float64)",1064818.0655595234
"tensor(952214.4670, dtype=torch.float64)",1065083.0970705447
"tensor(952681.2468, dtype=torch.float64)",1070807.0705606022
"tensor(952073.2099, dtype=torch.float64)",1071073.411672468
"tensor(952838.1155, dtype=torch.float64)",1078462.650545441
"tensor(953363.8022, dtype=torch.float64)",1074834.254585975
"tensor(951436.7729, dtype=torch.float64)",1080545.0679898541
"tensor(951993.4732, dtype=torch.float64)",1083857.2464093056
"tensor(952960.7748, dtype=torch.float64)",1087124.4784099197
"tensor(953632.1335, dtype=torch.float64)",1085912.50066683
"tensor(952500.1146, dtype=torch.float64)",1084469.501169938
"tensor(951425.7879, dtype=torch.float64)",1081997.0289918967
"tensor(954462.3488, dtype=torch.float64)",1080886.0667852452
"tensor(950159.7499, dtype=torch.float64)",1083532.6934336324
"tensor(951636.3792, dtype=torch.float64)",1083965.066351529
"tensor(953768.8800, dtype=torch.float64)",1080906.5794247487
"tensor(950804.5569, dtype=torch.float64)",1082304.385864817
"tensor(951593.5765, dtype=torch.float64)",1083597.2198462994
"tensor(950853.0782, dtype=torch.float64)",1083162.2636092328
"tensor(950952.4939, dtype=torch.float64)",1084282.3966322928
"tensor(954931.9725, dtype=torch.float64)",1084719.695723882
"tensor(953813.3865, dtype=torch.float64)",1084240.8134917784
"tensor(950210.0739, dtype=torch.float64)",1086213.9882106292
"tensor(953702.2613, dtype=torch.float64)",1086683.3752312674
"tensor(950116.1188, dtype=torch.float64)",1090866.1062331323
"tensor(954264.8869, dtype=torch.float64)",1092227.3369606663
"tensor(953363.8035, dtype=torch.float64)",1090987.6056080507
"tensor(954433.8806, dtype=torch.float64)",1087388.9353009094
"tensor(949763.3527, dtype=torch.float64)",1090767.7045422134
"tensor(950535.7659, dtype=torch.float64)",1087179.6621219593
"tensor(951693.2771, dtype=torch.float64)",1086908.7719989307
"tensor(955967.6866, dtype=torch.float64)",1087373.9142675747
"tensor(949010.1232, dtype=torch.float64)",1087129.008440459
"tensor(952989.6705, dtype=torch.float64)",1090793.983919263
"tensor(953189.8487, dtype=torch.float64)",1092110.3988490456
"tensor(954966.0938, dtype=torch.float64)",1085340.8837359974
"tensor(952003.8613, dtype=torch.float64)",1089385.7653558734
"tensor(954195.2525, dtype=torch.float64)",1069968.8021463645
"tensor(954423.7587, dtype=torch.float64)",1058807.4824629838
"tensor(949498.4871, dtype=torch.float64)",1041495.0726276921
"tensor(952418.3717, dtype=torch.float64)",1031796.5129985487
"tensor(951151.4478, dtype=torch.float64)",1019040.6666769265
"tensor(953945.5927, dtype=torch.float64)",1030271.579887422
"tensor(949680.4922, dtype=torch.float64)",1043361.71535038
"tensor(951238.1398, dtype=torch.float64)",1038915.8478822182
"tensor(956324.1297, dtype=torch.float64)",1034897.8420002268
"tensor(953342.0031, dtype=torch.float64)",1032026.8729083504
"tensor(952276.9694, dtype=torch.float64)",1050803.5757086985
"tensor(952263.9572, dtype=torch.float64)",1054281.6778056454
"tensor(952392.7406, dtype=torch.float64)",1056400.6019381469
"tensor(952599.3699, dtype=torch.float64)",1046691.0263568003
"tensor(952854.0927, dtype=torch.float64)",1045921.2307835835
"tensor(951995.0288, dtype=torch.float64)",1045044.5349927364
"tensor(955325.3930, dtype=torch.float64)",1042684.1133619451
"tensor(954688.5142, dtype=torch.float64)",1040714.0954124772
"tensor(950417.7434, dtype=torch.float64)",1033523.2184215283
"tensor(954126.6661, dtype=torch.float64)",1036468.1622195899
"tensor(947742.1050, dtype=torch.float64)",1042351.5543169406
"tensor(951140.2158, dtype=torch.float64)",1042416.3000431745
"tensor(952937.9479, dtype=torch.float64)",1043788.4134099147
