SCR,Realized_Delta_BOF
"tensor(713845.4786, dtype=torch.float64)",1140003.8356389822
"tensor(732182.8435, dtype=torch.float64)",1141288.2438056353
"tensor(736366.2825, dtype=torch.float64)",1134274.381871415
"tensor(732626.6093, dtype=torch.float64)",1128239.6131465964
"tensor(727326.6318, dtype=torch.float64)",1124207.9390725866
"tensor(710389.3152, dtype=torch.float64)",1119044.7405870906
"tensor(720432.7088, dtype=torch.float64)",1120193.9939551584
"tensor(718409.8307, dtype=torch.float64)",1119830.220729786
"tensor(721975.4717, dtype=torch.float64)",1122097.0748562354
"tensor(718123.2751, dtype=torch.float64)",1121116.6185856871
"tensor(711934.5477, dtype=torch.float64)",1118459.5894113951
"tensor(711932.6289, dtype=torch.float64)",1118565.5200446078
"tensor(724234.9695, dtype=torch.float64)",1115940.647286732
"tensor(712867.8116, dtype=torch.float64)",1116430.5573944165
"tensor(715366.4078, dtype=torch.float64)",1115571.0386781013
"tensor(705143.8384, dtype=torch.float64)",1113061.2579151362
"tensor(705312.7114, dtype=torch.float64)",1112069.0794429476
"tensor(697864.9991, dtype=torch.float64)",1110113.7422985644
"tensor(717377.7119, dtype=torch.float64)",1103167.9504009408
"tensor(703700.2934, dtype=torch.float64)",1101396.1326155444
"tensor(706399.8857, dtype=torch.float64)",1101261.773405218
"tensor(698629.4431, dtype=torch.float64)",1097846.901859701
"tensor(710870.3302, dtype=torch.float64)",1094178.2833808141
"tensor(717945.0330, dtype=torch.float64)",1093365.63839887
"tensor(710238.4371, dtype=torch.float64)",1098398.684007504
"tensor(704577.7397, dtype=torch.float64)",1101707.2940880843
"tensor(697227.9667, dtype=torch.float64)",1103216.7407636167
"tensor(726642.0515, dtype=torch.float64)",1100419.4694377256
"tensor(716722.4039, dtype=torch.float64)",1099769.9422508145
"tensor(709361.6435, dtype=torch.float64)",1101997.7049864426
"tensor(724956.9422, dtype=torch.float64)",1101917.7126009606
"tensor(710590.2420, dtype=torch.float64)",1101478.7324852722
"tensor(700979.0617, dtype=torch.float64)",1101198.0766280172
"tensor(695263.2589, dtype=torch.float64)",1100523.1494950375
"tensor(714389.8279, dtype=torch.float64)",1100166.9882640764
"tensor(714262.7654, dtype=torch.float64)",1100211.9913958
"tensor(706492.9423, dtype=torch.float64)",1098656.2996959358
"tensor(709086.1286, dtype=torch.float64)",1096823.179407581
"tensor(697017.8841, dtype=torch.float64)",1089149.0296405458
"tensor(715975.3974, dtype=torch.float64)",1086145.5038409468
"tensor(705526.6954, dtype=torch.float64)",1082925.9100554
"tensor(706899.0484, dtype=torch.float64)",1074093.8565187927
"tensor(692253.3164, dtype=torch.float64)",1065821.0145245441
"tensor(696926.8875, dtype=torch.float64)",1069844.6061444895
"tensor(702283.7466, dtype=torch.float64)",1077656.749720128
"tensor(707434.6251, dtype=torch.float64)",1084752.4393246376
"tensor(692528.5639, dtype=torch.float64)",1077796.289206001
"tensor(694787.7988, dtype=torch.float64)",1062454.1878735968
"tensor(694798.9920, dtype=torch.float64)",1024615.6699501332
"tensor(695631.8315, dtype=torch.float64)",1025279.7784931505
"tensor(708125.3530, dtype=torch.float64)",1013435.7943341379
"tensor(711103.7157, dtype=torch.float64)",979632.9252727911
"tensor(698898.9284, dtype=torch.float64)",977104.777832218
"tensor(705241.9079, dtype=torch.float64)",944511.1193172544
"tensor(710012.7116, dtype=torch.float64)",930420.7782631203
"tensor(704120.8728, dtype=torch.float64)",897864.0716966443
"tensor(700761.2783, dtype=torch.float64)",877021.017815496
"tensor(708808.2763, dtype=torch.float64)",873249.8289860375
"tensor(701325.0642, dtype=torch.float64)",856965.6840637964
"tensor(681745.8564, dtype=torch.float64)",864515.2529866777
"tensor(696893.8038, dtype=torch.float64)",877231.5606989647
