SCR,Realized_Delta_BOF
"tensor(809338.6095, dtype=torch.float64)",1109685.5882616683
"tensor(826922.4301, dtype=torch.float64)",1108522.1629476573
"tensor(802890.8279, dtype=torch.float64)",1118165.1758293412
"tensor(813394.2887, dtype=torch.float64)",1116166.6836811353
"tensor(814588.3621, dtype=torch.float64)",1115529.1023862779
"tensor(810482.6181, dtype=torch.float64)",1111603.988918379
"tensor(813475.7077, dtype=torch.float64)",1113115.755411166
"tensor(795098.1354, dtype=torch.float64)",1114207.7295228124
"tensor(807494.0594, dtype=torch.float64)",1113794.556179391
"tensor(805216.5322, dtype=torch.float64)",1114461.7935062987
"tensor(808796.4752, dtype=torch.float64)",1116271.0237535213
"tensor(827811.6082, dtype=torch.float64)",1116077.3485055303
"tensor(817653.8539, dtype=torch.float64)",1115433.868533653
"tensor(809377.9876, dtype=torch.float64)",1115586.5016903176
"tensor(815413.9846, dtype=torch.float64)",1116268.0051062687
"tensor(812562.9870, dtype=torch.float64)",1118048.966920681
"tensor(806878.8159, dtype=torch.float64)",1118850.715623131
"tensor(811116.0618, dtype=torch.float64)",1119676.8130773026
"tensor(813676.1216, dtype=torch.float64)",1121071.9034605375
"tensor(799777.6488, dtype=torch.float64)",1113610.7387907603
"tensor(815966.2020, dtype=torch.float64)",1117427.5958011947
"tensor(813944.3470, dtype=torch.float64)",1118523.525239985
"tensor(808139.7169, dtype=torch.float64)",1117131.8684238559
"tensor(813877.0377, dtype=torch.float64)",1116590.7672698847
"tensor(803781.4779, dtype=torch.float64)",1111146.45776793
"tensor(825761.9851, dtype=torch.float64)",1108566.6043139338
"tensor(795610.4568, dtype=torch.float64)",1111065.8209558686
"tensor(821733.3526, dtype=torch.float64)",1115463.5688015954
"tensor(804568.9987, dtype=torch.float64)",1117415.6352936942
"tensor(810350.4718, dtype=torch.float64)",1113884.436555356
"tensor(802942.7823, dtype=torch.float64)",1111947.2410471067
"tensor(804048.2754, dtype=torch.float64)",1112329.283910748
"tensor(804856.2569, dtype=torch.float64)",1113332.0768068386
"tensor(802661.1957, dtype=torch.float64)",1113890.8917715747
"tensor(806067.3560, dtype=torch.float64)",1117842.2053862037
"tensor(798174.0658, dtype=torch.float64)",1115268.5895739652
"tensor(805424.6730, dtype=torch.float64)",1117025.4636137292
"tensor(786426.9865, dtype=torch.float64)",1117556.520733909
"tensor(821457.0559, dtype=torch.float64)",1122598.5651809808
"tensor(823760.6580, dtype=torch.float64)",1123113.1903678803
"tensor(802158.7955, dtype=torch.float64)",1123343.8276719179
"tensor(798770.1647, dtype=torch.float64)",1118262.9631222
"tensor(805178.1224, dtype=torch.float64)",1120423.5225649485
"tensor(788338.7663, dtype=torch.float64)",1119469.2749421345
"tensor(815423.2811, dtype=torch.float64)",1120352.6532978145
"tensor(814091.2848, dtype=torch.float64)",1122938.7233425854
"tensor(816801.2485, dtype=torch.float64)",1125206.7068550948
"tensor(796685.0343, dtype=torch.float64)",1128427.7639016735
"tensor(800642.3536, dtype=torch.float64)",1115426.3362040676
"tensor(807396.8418, dtype=torch.float64)",1102126.133949075
"tensor(801206.4366, dtype=torch.float64)",1091970.362005066
"tensor(803323.2774, dtype=torch.float64)",1072520.5737358136
"tensor(806809.7966, dtype=torch.float64)",1062559.4624918858
"tensor(789618.8779, dtype=torch.float64)",1054669.4802964195
"tensor(801207.7054, dtype=torch.float64)",1031881.3873859793
"tensor(825480.0703, dtype=torch.float64)",995659.7702346186
"tensor(791198.5542, dtype=torch.float64)",981490.0839735612
"tensor(795146.8644, dtype=torch.float64)",979085.2177527293
"tensor(809538.9238, dtype=torch.float64)",978580.9125943246
"tensor(799471.1527, dtype=torch.float64)",983266.051954619
"tensor(803402.3753, dtype=torch.float64)",993211.8775933662
"tensor(809532.7196, dtype=torch.float64)",1007720.0122220035
"tensor(802031.3257, dtype=torch.float64)",1014303.662269956
"tensor(806426.1294, dtype=torch.float64)",1022355.1063940519
"tensor(810833.8425, dtype=torch.float64)",1024068.2725181053
"tensor(796203.4389, dtype=torch.float64)",1024949.5844983347
"tensor(810795.8460, dtype=torch.float64)",1024591.6014419849
"tensor(821693.0717, dtype=torch.float64)",1024540.9518619843
"tensor(801825.0110, dtype=torch.float64)",1021754.406416876
