SCR,Realized_Delta_BOF
"tensor(998386.8540, dtype=torch.float64)",995957.896566783
"tensor(998691.3621, dtype=torch.float64)",995953.1103871214
"tensor(998469.3224, dtype=torch.float64)",995948.3518962363
"tensor(998058.3328, dtype=torch.float64)",995933.9102058661
"tensor(998093.3206, dtype=torch.float64)",995928.9858164594
"tensor(998418.3775, dtype=torch.float64)",995924.2551058129
"tensor(998660.6433, dtype=torch.float64)",995919.4690878169
"tensor(998473.1232, dtype=torch.float64)",995914.7107575327
"tensor(998052.0341, dtype=torch.float64)",995900.5185400415
"tensor(998144.7963, dtype=torch.float64)",995895.8432924643
"tensor(998430.7366, dtype=torch.float64)",995891.1957307622
"tensor(998637.2808, dtype=torch.float64)",995886.575854807
"tensor(998368.3076, dtype=torch.float64)",995881.983663826
"tensor(997993.2569, dtype=torch.float64)",995847.5147294862
"tensor(998066.8346, dtype=torch.float64)",995842.9227188776
"tensor(998458.7386, dtype=torch.float64)",995838.3030668565
"tensor(998650.8563, dtype=torch.float64)",995853.9880011347
"tensor(998371.0227, dtype=torch.float64)",995849.3406348875
"tensor(997931.1020, dtype=torch.float64)",995814.9004921798
"tensor(997992.6647, dtype=torch.float64)",995809.9490301006
"tensor(998579.9493, dtype=torch.float64)",995805.1082382125
"tensor(998632.5007, dtype=torch.float64)",995819.907450082
"tensor(998347.5313, dtype=torch.float64)",995815.0389481098
"tensor(997983.1542, dtype=torch.float64)",995780.5170119968
"tensor(998086.6599, dtype=torch.float64)",995775.7316851488
"tensor(998605.1036, dtype=torch.float64)",995770.9187207161
"tensor(998627.7213, dtype=torch.float64)",995786.4919464557
"tensor(998263.7675, dtype=torch.float64)",995781.7895734161
"tensor(997972.5014, dtype=torch.float64)",995747.4347495389
"tensor(998112.0922, dtype=torch.float64)",995742.7049006122
"tensor(998692.0233, dtype=torch.float64)",995737.947414479
"tensor(998553.0049, dtype=torch.float64)",995753.7967334836
"tensor(998215.4369, dtype=torch.float64)",995749.1221746901
"tensor(998145.8042, dtype=torch.float64)",995714.4642170919
"tensor(998129.2606, dtype=torch.float64)",995709.8728198722
"tensor(998671.0489, dtype=torch.float64)",995705.1708085202
"tensor(998574.0386, dtype=torch.float64)",995720.9919451626
"tensor(998158.6575, dtype=torch.float64)",995716.3728583866
"tensor(998209.7035, dtype=torch.float64)",995681.8266759891
"tensor(998178.0739, dtype=torch.float64)",995677.0141650336
"tensor(998642.7811, dtype=torch.float64)",995672.284650869
"tensor(998492.4735, dtype=torch.float64)",995688.1052649725
"tensor(998128.7089, dtype=torch.float64)",995683.4586724667
"tensor(998318.3915, dtype=torch.float64)",995648.6647114888
"tensor(998145.7764, dtype=torch.float64)",995643.7417322034
"tensor(998683.8784, dtype=torch.float64)",995638.9847189006
"tensor(998433.3289, dtype=torch.float64)",995654.8324626995
"tensor(998190.0829, dtype=torch.float64)",995649.9924247235
"tensor(998410.7249, dtype=torch.float64)",995615.4208919934
"tensor(998206.1271, dtype=torch.float64)",995610.6363578674
"tensor(998621.8870, dtype=torch.float64)",995605.7412224727
"tensor(998416.1284, dtype=torch.float64)",995621.4224950945
"tensor(998282.4910, dtype=torch.float64)",995616.6379321278
"tensor(998451.6198, dtype=torch.float64)",995582.4270856453
"tensor(998196.2177, dtype=torch.float64)",995578.0022292589
"tensor(998489.3719, dtype=torch.float64)",995573.5773927823
"tensor(998367.3559, dtype=torch.float64)",995589.5623698706
