SCR,Realized_Delta_BOF
"tensor(752942.2107, dtype=torch.float64)",1456587.1819803016
"tensor(741363.0254, dtype=torch.float64)",1491247.1778235838
"tensor(745096.5169, dtype=torch.float64)",1447645.8783756911
"tensor(762613.4075, dtype=torch.float64)",1419523.9299630881
"tensor(756635.7172, dtype=torch.float64)",1406066.3907960206
"tensor(745740.2821, dtype=torch.float64)",1411772.199430325
"tensor(737804.6327, dtype=torch.float64)",1417598.5969709372
"tensor(756853.6190, dtype=torch.float64)",1408608.2953810652
"tensor(736669.8158, dtype=torch.float64)",1419475.3471332728
"tensor(746154.5475, dtype=torch.float64)",1402426.089224808
"tensor(739467.1498, dtype=torch.float64)",1385068.4795418908
"tensor(758132.1351, dtype=torch.float64)",1396374.1289708372
"tensor(740052.9595, dtype=torch.float64)",1391512.3387038254
"tensor(743800.3897, dtype=torch.float64)",1397770.6302954226
"tensor(748060.5783, dtype=torch.float64)",1390270.1180602857
"tensor(746260.0791, dtype=torch.float64)",1400139.5540233538
"tensor(737918.4568, dtype=torch.float64)",1399573.7230743645
"tensor(732422.1044, dtype=torch.float64)",1386267.3190050002
"tensor(757216.6353, dtype=torch.float64)",1365284.0525134993
"tensor(751941.6050, dtype=torch.float64)",1368534.7666682333
"tensor(739968.7077, dtype=torch.float64)",1369078.7625942521
"tensor(747161.5705, dtype=torch.float64)",1338409.109024865
"tensor(759665.9340, dtype=torch.float64)",1324035.5153864536
"tensor(744696.1871, dtype=torch.float64)",1325295.5415101591
"tensor(740852.0380, dtype=torch.float64)",1357806.5689561828
"tensor(733349.7492, dtype=torch.float64)",1381814.7120777376
"tensor(738303.1338, dtype=torch.float64)",1375004.8835902757
"tensor(755061.8973, dtype=torch.float64)",1368976.2333210658
"tensor(747436.9776, dtype=torch.float64)",1368741.5234108267
"tensor(744308.0256, dtype=torch.float64)",1387890.2281517365
"tensor(741689.8729, dtype=torch.float64)",1371660.2871601067
"tensor(744001.9053, dtype=torch.float64)",1379607.6630144294
"tensor(742781.7928, dtype=torch.float64)",1378692.77220131
"tensor(748878.2900, dtype=torch.float64)",1376480.3598152606
"tensor(743618.7668, dtype=torch.float64)",1372049.08300016
"tensor(745300.1138, dtype=torch.float64)",1376586.5252402313
"tensor(739328.4104, dtype=torch.float64)",1377589.2666309788
"tensor(735990.3943, dtype=torch.float64)",1362286.043442396
"tensor(753518.4575, dtype=torch.float64)",1324718.8693441467
"tensor(740651.4648, dtype=torch.float64)",1288461.3852957215
"tensor(745880.5094, dtype=torch.float64)",1280155.4080332322
"tensor(714799.7477, dtype=torch.float64)",1212156.333440927
"tensor(738746.2960, dtype=torch.float64)",1184164.038847056
"tensor(753356.5120, dtype=torch.float64)",1201950.2898100573
"tensor(749995.3660, dtype=torch.float64)",1206677.981859048
"tensor(744862.1687, dtype=torch.float64)",1237053.7346875966
"tensor(741425.4755, dtype=torch.float64)",1195203.9243824985
"tensor(731017.8920, dtype=torch.float64)",1140120.532101304
"tensor(751389.4572, dtype=torch.float64)",1018718.1999612374
"tensor(735164.9152, dtype=torch.float64)",1032222.2095166083
"tensor(748068.5302, dtype=torch.float64)",996689.5333163831
"tensor(721602.4865, dtype=torch.float64)",880883.3876418961
"tensor(729602.6056, dtype=torch.float64)",941135.0196754029
"tensor(742779.9806, dtype=torch.float64)",826442.2759280503
"tensor(743837.4142, dtype=torch.float64)",804605.5608361269
"tensor(744165.5338, dtype=torch.float64)",742742.3242002374
"tensor(740875.7380, dtype=torch.float64)",791773.8138327674
"tensor(742155.7965, dtype=torch.float64)",772772.5670432693
"tensor(744336.5194, dtype=torch.float64)",713810.2761363842
"tensor(747276.6102, dtype=torch.float64)",803659.1698327697
"tensor(747377.7627, dtype=torch.float64)",857000.9762562612
"tensor(751930.5782, dtype=torch.float64)",895149.7922787594
"tensor(731471.3927, dtype=torch.float64)",862762.812269136
"tensor(730562.3597, dtype=torch.float64)",855540.4886197406
"tensor(763166.8195, dtype=torch.float64)",849982.4446875711
"tensor(742910.3534, dtype=torch.float64)",800912.6447121439
"tensor(748107.4426, dtype=torch.float64)",799276.840005011
"tensor(745717.3554, dtype=torch.float64)",802384.020174307
"tensor(738437.3097, dtype=torch.float64)",862010.6942594835
"tensor(713262.5404, dtype=torch.float64)",884771.738619806
"tensor(724401.8898, dtype=torch.float64)",904855.5737400295
"tensor(734328.2970, dtype=torch.float64)",937233.9782412646
"tensor(734784.9365, dtype=torch.float64)",917510.340870415
"tensor(733236.1910, dtype=torch.float64)",876292.6578950458
"tensor(730866.8431, dtype=torch.float64)",867801.1316527231
"tensor(743222.7478, dtype=torch.float64)",887763.5392207005
"tensor(723456.7001, dtype=torch.float64)",873316.2647850557
"tensor(702548.1658, dtype=torch.float64)",835859.6251557097
"tensor(726399.9547, dtype=torch.float64)",845426.0864471168
"tensor(728286.5076, dtype=torch.float64)",860799.3212152371
"tensor(742953.9561, dtype=torch.float64)",873450.2778419007
"tensor(725942.2151, dtype=torch.float64)",908844.8502713899
"tensor(732467.5790, dtype=torch.float64)",909544.6995455985
"tensor(727985.7783, dtype=torch.float64)",954695.8003530614
"tensor(722212.7362, dtype=torch.float64)",928424.1273834093
"tensor(715941.9108, dtype=torch.float64)",888921.5141469879
"tensor(739132.7935, dtype=torch.float64)",914762.7134156895
"tensor(725396.9029, dtype=torch.float64)",925969.543752823
"tensor(728985.4788, dtype=torch.float64)",963719.4335629182
"tensor(732164.9483, dtype=torch.float64)",952525.1296675556
"tensor(723549.1321, dtype=torch.float64)",950515.0201221129
"tensor(716805.9911, dtype=torch.float64)",927473.2989165634
"tensor(730935.7176, dtype=torch.float64)",895775.7868901062
"tensor(722544.6825, dtype=torch.float64)",899447.5866862007
"tensor(725832.0071, dtype=torch.float64)",897740.1293982837
"tensor(735683.4487, dtype=torch.float64)",933831.3232006574
"tensor(721134.6177, dtype=torch.float64)",945471.4767848254
"tensor(735404.5725, dtype=torch.float64)",963523.3289700035
"tensor(744166.9206, dtype=torch.float64)",962260.685261484
"tensor(732576.3584, dtype=torch.float64)",975476.375251234
"tensor(733809.0567, dtype=torch.float64)",986907.2915391434
"tensor(728081.0646, dtype=torch.float64)",1014352.0703412184
"tensor(733288.4957, dtype=torch.float64)",1041601.4211893217
"tensor(728048.8392, dtype=torch.float64)",1034252.0402167357
"tensor(723328.7314, dtype=torch.float64)",1008864.5345712639
"tensor(732319.9174, dtype=torch.float64)",1015328.1242725205
"tensor(732435.3385, dtype=torch.float64)",1030473.31117716
"tensor(724258.6362, dtype=torch.float64)",1048553.2018995349
"tensor(718700.3887, dtype=torch.float64)",1028680.1408996722
"tensor(742629.4880, dtype=torch.float64)",1052519.8276067774
"tensor(723988.4246, dtype=torch.float64)",1068635.2672886986
"tensor(718406.7833, dtype=torch.float64)",1042588.1333228146
"tensor(747812.9070, dtype=torch.float64)",1027237.2610146614
"tensor(718810.1095, dtype=torch.float64)",970513.2343057884
"tensor(737813.1079, dtype=torch.float64)",986260.1771565856
"tensor(732722.7813, dtype=torch.float64)",987138.2961968221
"tensor(737822.9990, dtype=torch.float64)",1007155.0509013098
"tensor(735237.0691, dtype=torch.float64)",1006574.298568164
"tensor(733980.6714, dtype=torch.float64)",1017762.0437571149
"tensor(719180.8896, dtype=torch.float64)",1021317.3499489818
"tensor(741665.6447, dtype=torch.float64)",1003421.4834635431
"tensor(712936.8375, dtype=torch.float64)",997143.2994137177
"tensor(735271.6934, dtype=torch.float64)",966020.0029578062
"tensor(736526.6619, dtype=torch.float64)",967674.5115054821
"tensor(729815.3599, dtype=torch.float64)",936855.2411184775
"tensor(723898.3790, dtype=torch.float64)",941233.4378515057
"tensor(729554.0049, dtype=torch.float64)",952411.9671801609
"tensor(720436.6160, dtype=torch.float64)",953747.8282745403
"tensor(722662.8846, dtype=torch.float64)",964244.7662867339
"tensor(720700.5794, dtype=torch.float64)",960976.9331340024
"tensor(731529.5523, dtype=torch.float64)",968164.3875431486
"tensor(731563.0203, dtype=torch.float64)",948886.9603594119
"tensor(710203.1788, dtype=torch.float64)",958195.7310205817
"tensor(710503.6858, dtype=torch.float64)",954498.5332570296
"tensor(733335.9571, dtype=torch.float64)",960886.252772701
"tensor(735997.0624, dtype=torch.float64)",963700.2906355278
"tensor(727032.6902, dtype=torch.float64)",967934.5080325513
"tensor(723940.6816, dtype=torch.float64)",986348.8452615142
"tensor(722056.4013, dtype=torch.float64)",972537.7456062579
"tensor(728088.7184, dtype=torch.float64)",964925.9251686931
"tensor(720495.8684, dtype=torch.float64)",955186.2232031552
"tensor(721465.3341, dtype=torch.float64)",967624.6000864021
"tensor(735637.0133, dtype=torch.float64)",962159.707867448
"tensor(716963.9326, dtype=torch.float64)",961018.1868775744
"tensor(731929.6725, dtype=torch.float64)",949465.0347161518
"tensor(721008.3891, dtype=torch.float64)",950901.7156988452
"tensor(728268.4894, dtype=torch.float64)",958723.0260621681
"tensor(729084.4762, dtype=torch.float64)",980740.3886105005
"tensor(723845.8962, dtype=torch.float64)",989613.61013222
"tensor(729248.0989, dtype=torch.float64)",972789.4953938195
"tensor(722532.5893, dtype=torch.float64)",989989.091922213
"tensor(731253.1999, dtype=torch.float64)",971214.258689436
"tensor(737610.2048, dtype=torch.float64)",983614.7205015216
"tensor(726791.5857, dtype=torch.float64)",992178.4978553774
"tensor(728042.3579, dtype=torch.float64)",990782.967644788
"tensor(717922.2661, dtype=torch.float64)",1013091.5649234557
"tensor(727173.5960, dtype=torch.float64)",1006805.9262435518
"tensor(727830.8556, dtype=torch.float64)",998939.5894236383
