realized_delta_bof,scr_values
140624.03143451607,-158455.746713329
148740.8875457464,-151123.92672436673
146156.7946051549,-146851.24297032517
143472.75647428748,-142511.13260414696
140659.07499658782,-140014.46009557182
137986.79752264253,-167215.49882962252
138454.94483721466,-146355.61707701092
136223.04731919686,-154158.79355140717
135881.31691249553,-145970.62184293347
134213.87576534064,-153138.00457854872
133007.04513086786,-148952.36279402475
133729.37115997658,-157545.28541856026
131978.5885376206,-147417.2375228647
131587.26601040643,-145503.57769734925
129352.22372150619,-153546.6091981508
128977.62078410713,-165507.74476584583
133096.38707107469,-155994.9439980071
132063.9357269546,-142778.83999172912
127478.52182527818,-151595.26364398305
125455.6115094705,-151935.18787541403
129262.61719837983,-152302.07615733088
127419.58112172829,-149975.83785485162
122946.30368236883,-139012.94177511253
123114.92987332353,-152439.48655984388
127075.83454074792,-147208.94874679635
129262.52071625157,-149338.4233106859
129766.2279458819,-161966.1925350614
129247.5823822217,-153770.94996339153
131333.51514519402,-164022.7939240943
131949.84628506063,-161356.49157474493
130967.55876614561,-151133.23186064325
132347.84151878813,-157607.37178875075
134176.62781683612,-153488.7974825838
134417.90613034694,-138811.4592518852
135353.94676031568,-155082.2582889737
135538.3658309473,-146150.95276148082
134835.11131663655,-140658.2459316937
132246.85948626883,-145980.3076646824
127003.50529915316,-154403.8282965232
121060.54825018079,-153855.42142239294
117826.83427507384,-146981.1505427641
101222.26179042296,-163021.75998024864
95394.82267530437,-154416.70366365812
99631.45439053641,-164184.47595969692
98048.50051703001,-134246.2755633779
108017.45959251735,-160317.8541718009
98946.25446416228,-151402.39646029403
90999.0764908368,-162462.76597331546
63588.99989511038,-149003.28095745167
62089.66429613216,-141267.2246484122
51915.64573713811,-152825.8784059229
12224.979421393946,-152932.22258897172
16471.85133961856,-148815.2571475734
-18642.325633052853,-164497.3503763018
-22376.811424600543,-155642.72190841555
-47402.09390215785,-151812.7812760668
-41155.922261344735,-164610.26912565262
-40931.127943685045,-161248.6919690041
-53893.80933985324,-154044.70460533584
-31671.565710266237,-168676.69777041662
-24794.516010838444,-162053.68501035217
-8624.272861700272,-146429.71794987726
-12804.455900584115,-148198.4764686433
-5581.083938617725,-171736.69774872903
-6654.266041543102,-154989.5965645369
-16224.693391765119,-154642.5396843584
-12623.164810339455,-145145.35116821958
-14651.199429901899,-148217.6633845704
-4252.683280728525,-158559.09613195504
-2836.1557958819903,-158581.569046468
5629.123402619152,-139352.91272838472
16476.96175719041,-161273.6069431306
22103.48672149377,-153819.9246566255
18876.301166968886,-154801.44155480154
17809.730330952327,-150434.8921958882
23432.746710066916,-147814.15135376714
15803.000740865129,-154230.42145064636
7129.291860081488,-165546.8288428029
7971.642429245403,-164178.08473270014
12447.699105906067,-164606.8714394928
16105.710138334194,-158310.07535778452
21000.78770816524,-156116.45697422605
22313.148939430597,-152370.01977363892
30083.056311117718,-147302.77089612058
30002.909086045693,-159809.31020694587
