SCR,Realized_Delta_BOF
"tensor(571181.8240, dtype=torch.float64)",1301306.1908299471
"tensor(555347.0457, dtype=torch.float64)",1307086.8163541765
"tensor(558920.7681, dtype=torch.float64)",1288172.508842105
"tensor(562555.8005, dtype=torch.float64)",1272796.2335774563
"tensor(558857.4902, dtype=torch.float64)",1258578.727475274
"tensor(533591.4192, dtype=torch.float64)",1251573.8092133307
"tensor(562555.3069, dtype=torch.float64)",1254258.0977567527
"tensor(550481.3251, dtype=torch.float64)",1233682.1235801056
"tensor(566301.0548, dtype=torch.float64)",1236264.6738408038
"tensor(537185.9284, dtype=torch.float64)",1239666.5378375978
"tensor(551617.1613, dtype=torch.float64)",1229895.5919203144
"tensor(559560.6385, dtype=torch.float64)",1239222.7066354565
"tensor(561638.1122, dtype=torch.float64)",1235000.5319161054
"tensor(574580.8897, dtype=torch.float64)",1219809.3837698337
"tensor(567144.7670, dtype=torch.float64)",1217680.3786990775
"tensor(558458.5043, dtype=torch.float64)",1214160.8003621935
"tensor(548114.2473, dtype=torch.float64)",1210784.5630297312
"tensor(573851.2382, dtype=torch.float64)",1208339.3367825977
"tensor(586134.4409, dtype=torch.float64)",1180006.7193376122
"tensor(549038.4272, dtype=torch.float64)",1189126.987070281
"tensor(577211.1156, dtype=torch.float64)",1202665.5476437192
"tensor(569054.8960, dtype=torch.float64)",1195228.484370309
"tensor(571254.6342, dtype=torch.float64)",1197591.7365997515
"tensor(551293.9747, dtype=torch.float64)",1192776.4715120238
"tensor(577394.4121, dtype=torch.float64)",1201741.4706820466
"tensor(562468.9194, dtype=torch.float64)",1212020.2684714426
"tensor(552245.5952, dtype=torch.float64)",1208808.9712659712
"tensor(563718.9895, dtype=torch.float64)",1213242.9007254743
"tensor(575791.0961, dtype=torch.float64)",1228395.5520254234
"tensor(557872.8000, dtype=torch.float64)",1247808.5240245417
"tensor(572484.6750, dtype=torch.float64)",1243721.8986024149
"tensor(552223.1702, dtype=torch.float64)",1245248.1287854149
"tensor(565560.2523, dtype=torch.float64)",1267109.0110181365
"tensor(542901.0342, dtype=torch.float64)",1267503.9267364233
"tensor(565607.5798, dtype=torch.float64)",1265669.4904762828
"tensor(557062.0643, dtype=torch.float64)",1276126.3435741004
"tensor(571721.8568, dtype=torch.float64)",1271306.091774623
"tensor(566966.2074, dtype=torch.float64)",1263711.930907181
"tensor(553283.3479, dtype=torch.float64)",1241188.9043253248
"tensor(541473.1886, dtype=torch.float64)",1222278.6453446227
"tensor(557802.8473, dtype=torch.float64)",1213229.1487019002
"tensor(552220.5860, dtype=torch.float64)",1167730.5944655172
"tensor(543068.7231, dtype=torch.float64)",1115408.8257950982
"tensor(564582.2550, dtype=torch.float64)",1120232.0146591538
"tensor(555848.4595, dtype=torch.float64)",1139653.5243874686
"tensor(557895.7972, dtype=torch.float64)",1153111.1517399354
"tensor(558242.4177, dtype=torch.float64)",1138825.5243117649
"tensor(557609.2427, dtype=torch.float64)",1101210.2399930854
"tensor(571788.9009, dtype=torch.float64)",1036700.4483648292
"tensor(551105.3291, dtype=torch.float64)",999422.8541247888
"tensor(565804.2125, dtype=torch.float64)",990240.6485273931
