SCR,Realized_Delta_BOF
"tensor(611951.3547, dtype=torch.float64)",1301306.1908299471
"tensor(604757.6027, dtype=torch.float64)",1307086.8163541765
"tensor(609933.2579, dtype=torch.float64)",1288172.508842105
"tensor(597936.7293, dtype=torch.float64)",1272796.2335774563
"tensor(599573.1043, dtype=torch.float64)",1258578.727475274
"tensor(601208.4115, dtype=torch.float64)",1251573.8092133307
"tensor(605281.3387, dtype=torch.float64)",1254258.0977567527
"tensor(604806.4749, dtype=torch.float64)",1233682.1235801056
"tensor(610981.2852, dtype=torch.float64)",1236264.6738408038
"tensor(595735.8555, dtype=torch.float64)",1239666.5378375978
"tensor(608075.1747, dtype=torch.float64)",1229895.5919203144
"tensor(613381.6043, dtype=torch.float64)",1239222.7066354565
"tensor(607976.1087, dtype=torch.float64)",1235000.5319161054
"tensor(599802.6298, dtype=torch.float64)",1219809.3837698337
"tensor(602567.5542, dtype=torch.float64)",1217680.3786990775
"tensor(609261.0259, dtype=torch.float64)",1214160.8003621935
"tensor(581047.3491, dtype=torch.float64)",1210784.5630297312
"tensor(619516.5254, dtype=torch.float64)",1208339.3367825977
"tensor(602575.0127, dtype=torch.float64)",1180006.7193376122
"tensor(595805.0469, dtype=torch.float64)",1189126.987070281
"tensor(617101.6563, dtype=torch.float64)",1202665.5476437192
"tensor(596328.5996, dtype=torch.float64)",1195228.484370309
"tensor(597428.1001, dtype=torch.float64)",1197591.7365997515
"tensor(600874.8614, dtype=torch.float64)",1192776.4715120238
"tensor(606124.2977, dtype=torch.float64)",1201741.4706820466
"tensor(590885.1240, dtype=torch.float64)",1212020.2684714426
"tensor(611388.0918, dtype=torch.float64)",1208808.9712659712
"tensor(592831.6722, dtype=torch.float64)",1213242.9007254743
"tensor(608983.0405, dtype=torch.float64)",1228395.5520254234
"tensor(605904.2857, dtype=torch.float64)",1247808.5240245417
"tensor(602985.1992, dtype=torch.float64)",1243721.8986024149
"tensor(617504.7866, dtype=torch.float64)",1245248.1287854149
"tensor(624200.1229, dtype=torch.float64)",1267109.0110181365
"tensor(617497.6544, dtype=torch.float64)",1267503.9267364233
"tensor(590268.8996, dtype=torch.float64)",1265669.4904762828
"tensor(607668.8724, dtype=torch.float64)",1276126.3435741004
"tensor(591663.0617, dtype=torch.float64)",1271306.091774623
"tensor(614285.6585, dtype=torch.float64)",1263711.930907181
"tensor(599505.8900, dtype=torch.float64)",1241188.9043253248
"tensor(611121.5981, dtype=torch.float64)",1222278.6453446227
"tensor(602089.8398, dtype=torch.float64)",1213229.1487019002
"tensor(600140.5281, dtype=torch.float64)",1167730.5944655172
"tensor(604098.9343, dtype=torch.float64)",1115408.8257950982
"tensor(606623.3051, dtype=torch.float64)",1120232.0146591538
"tensor(595246.0463, dtype=torch.float64)",1139653.5243874686
"tensor(602094.1514, dtype=torch.float64)",1153111.1517399354
"tensor(607601.5456, dtype=torch.float64)",1138825.5243117649
"tensor(599304.9619, dtype=torch.float64)",1101210.2399930854
"tensor(610483.2354, dtype=torch.float64)",1036700.4483648292
"tensor(585385.2923, dtype=torch.float64)",999422.8541247888
"tensor(601453.3087, dtype=torch.float64)",990240.6485273931
"tensor(605403.7976, dtype=torch.float64)",875104.4667212559
"tensor(619413.9876, dtype=torch.float64)",860740.6656187194
"tensor(612247.1534, dtype=torch.float64)",782519.7111722933
"tensor(597126.5516, dtype=torch.float64)",751882.619621696
"tensor(595755.7745, dtype=torch.float64)",712365.8537620385
"tensor(587795.9999, dtype=torch.float64)",739466.7274481821
"tensor(599063.5179, dtype=torch.float64)",776248.2698085868
"tensor(601842.7814, dtype=torch.float64)",735955.3877021174
"tensor(593896.1960, dtype=torch.float64)",810229.4090747476
"tensor(614423.2386, dtype=torch.float64)",822877.5571536872
"tensor(596479.9785, dtype=torch.float64)",832319.5850287577
"tensor(610808.4177, dtype=torch.float64)",811284.1813776447
"tensor(612141.5755, dtype=torch.float64)",809786.5825078943
"tensor(613034.7770, dtype=torch.float64)",835658.4996507067
"tensor(608967.2104, dtype=torch.float64)",815261.8485410749
"tensor(604623.3802, dtype=torch.float64)",823222.7730362399
"tensor(599699.9052, dtype=torch.float64)",818595.8401156031
"tensor(614004.1112, dtype=torch.float64)",829276.1437251102
"tensor(618252.7762, dtype=torch.float64)",851568.7732970495
"tensor(614256.6182, dtype=torch.float64)",870279.2507988365
"tensor(621877.2476, dtype=torch.float64)",897252.6269004011
"tensor(613560.1724, dtype=torch.float64)",876594.6881923093
"tensor(609632.0162, dtype=torch.float64)",859707.5151639812
"tensor(615260.7409, dtype=torch.float64)",851052.920554014
"tensor(627769.5626, dtype=torch.float64)",868561.8707663962
"tensor(622098.5411, dtype=torch.float64)",848641.1818959062
"tensor(623597.5879, dtype=torch.float64)",833708.3794195105
"tensor(603994.9792, dtype=torch.float64)",843456.0616270234
"tensor(605995.3937, dtype=torch.float64)",852790.5067034328
"tensor(615457.9097, dtype=torch.float64)",852958.4453350058
"tensor(621447.5350, dtype=torch.float64)",852611.6753259733
"tensor(612323.9303, dtype=torch.float64)",865724.8321719833
"tensor(606883.2368, dtype=torch.float64)",886999.4502848776
"tensor(627894.5271, dtype=torch.float64)",875018.7451817009
"tensor(615950.3527, dtype=torch.float64)",844174.458936145
"tensor(624745.9543, dtype=torch.float64)",863073.7176223026
"tensor(601404.9077, dtype=torch.float64)",851763.6014977401
"tensor(623728.4700, dtype=torch.float64)",871435.4371902321
"tensor(632358.4668, dtype=torch.float64)",877661.7909911099
"tensor(626981.9040, dtype=torch.float64)",866950.0594029427
"tensor(629166.0243, dtype=torch.float64)",841816.530198763
"tensor(609707.6162, dtype=torch.float64)",830666.8014676505
"tensor(618080.7390, dtype=torch.float64)",815026.6706319373
"tensor(632522.6424, dtype=torch.float64)",811592.7436271851
"tensor(629729.9919, dtype=torch.float64)",848864.1258107749
"tensor(601650.0072, dtype=torch.float64)",857103.4406053933
"tensor(605756.4769, dtype=torch.float64)",843465.9283630752
"tensor(630110.0668, dtype=torch.float64)",839430.8856984342
"tensor(619842.7742, dtype=torch.float64)",852162.9764708695
"tensor(607682.1903, dtype=torch.float64)",872940.394226031
"tensor(614766.3215, dtype=torch.float64)",888175.5972593607
"tensor(599457.0970, dtype=torch.float64)",886190.059648956
"tensor(612053.6025, dtype=torch.float64)",904665.2406417166
"tensor(616602.4491, dtype=torch.float64)",899369.2813740355
"tensor(636148.5595, dtype=torch.float64)",901746.5122679312
"tensor(613823.7424, dtype=torch.float64)",950923.7091452979
"tensor(626933.5801, dtype=torch.float64)",979097.1835954719
"tensor(621489.0820, dtype=torch.float64)",981024.2296692082
"tensor(614662.9310, dtype=torch.float64)",997551.9879879663
"tensor(618719.5197, dtype=torch.float64)",987204.7689552433
"tensor(616529.3120, dtype=torch.float64)",952993.0969630972
"tensor(612141.6990, dtype=torch.float64)",945717.8199810869
"tensor(612004.6656, dtype=torch.float64)",914342.2375259362
"tensor(619597.9054, dtype=torch.float64)",923454.7015722037
"tensor(615536.0332, dtype=torch.float64)",935122.1810374738
"tensor(620462.9419, dtype=torch.float64)",960352.8528854258
"tensor(638190.6999, dtype=torch.float64)",967972.4825731729
"tensor(623228.7528, dtype=torch.float64)",973870.36235023
"tensor(589442.5880, dtype=torch.float64)",959956.3151859388
"tensor(593655.4935, dtype=torch.float64)",963635.2780922783
"tensor(615889.3140, dtype=torch.float64)",969139.7779971664
"tensor(618311.5065, dtype=torch.float64)",932244.3122418086
"tensor(628366.5387, dtype=torch.float64)",923121.0406376462
"tensor(605778.3995, dtype=torch.float64)",920836.5520653459
"tensor(632821.4143, dtype=torch.float64)",899178.1757636621
"tensor(615774.6533, dtype=torch.float64)",899893.0956740839
"tensor(624983.8281, dtype=torch.float64)",919254.4859212289
"tensor(622532.2578, dtype=torch.float64)",928566.7190587351
"tensor(625105.3961, dtype=torch.float64)",922089.6242179187
"tensor(621302.1720, dtype=torch.float64)",942580.4758684449
"tensor(619366.9779, dtype=torch.float64)",930315.3241734339
"tensor(616765.2934, dtype=torch.float64)",926470.87034089
"tensor(616093.7683, dtype=torch.float64)",916069.6509989637
"tensor(628546.5217, dtype=torch.float64)",936342.0540130694
"tensor(613344.2045, dtype=torch.float64)",931352.3997299753
"tensor(604071.5941, dtype=torch.float64)",921304.000034228
"tensor(608801.3028, dtype=torch.float64)",921964.3673300331
"tensor(601322.8717, dtype=torch.float64)",914063.0694364118
"tensor(612444.5402, dtype=torch.float64)",907419.9496206645
"tensor(604363.2866, dtype=torch.float64)",909799.6254920244
"tensor(610313.5633, dtype=torch.float64)",920787.3821437139
"tensor(621034.0439, dtype=torch.float64)",927965.8020763089
"tensor(632462.9808, dtype=torch.float64)",913012.5035727589
"tensor(620108.0560, dtype=torch.float64)",915503.1206724889
"tensor(612680.3854, dtype=torch.float64)",910908.0575350903
"tensor(634685.0917, dtype=torch.float64)",924677.8881374628
"tensor(635421.4407, dtype=torch.float64)",941893.417255163
"tensor(620845.9351, dtype=torch.float64)",942473.2692133446
"tensor(615210.0280, dtype=torch.float64)",953932.2604956372
"tensor(619404.3221, dtype=torch.float64)",949730.9181452609
"tensor(623069.8668, dtype=torch.float64)",953917.8301248583
"tensor(615735.8932, dtype=torch.float64)",968341.8197919034
"tensor(617938.8015, dtype=torch.float64)",965111.3008999396
"tensor(619233.3914, dtype=torch.float64)",975032.4168408841
"tensor(618699.5378, dtype=torch.float64)",981547.0473948177
"tensor(609387.8558, dtype=torch.float64)",981722.6668079977
"tensor(626224.1901, dtype=torch.float64)",970920.7270692602
"tensor(608561.0765, dtype=torch.float64)",960979.5046931402
"tensor(620707.0230, dtype=torch.float64)",964857.9660608512
"tensor(604090.8059, dtype=torch.float64)",949477.1329638148
"tensor(598731.4693, dtype=torch.float64)",934774.04809403
"tensor(623669.4839, dtype=torch.float64)",928503.7480223923
"tensor(624379.7260, dtype=torch.float64)",955675.174937941
"tensor(618731.7599, dtype=torch.float64)",945240.6339411121
"tensor(626919.2680, dtype=torch.float64)",947738.3227278733
"tensor(619774.5815, dtype=torch.float64)",943516.8157524192
"tensor(605063.6416, dtype=torch.float64)",942217.2006973767
"tensor(621564.6819, dtype=torch.float64)",936713.969231037
"tensor(611073.2696, dtype=torch.float64)",941858.3844580832
"tensor(606279.7469, dtype=torch.float64)",931812.0651766269
"tensor(626389.4891, dtype=torch.float64)",939932.132246146
"tensor(611037.2844, dtype=torch.float64)",951956.0521954789
"tensor(616367.1181, dtype=torch.float64)",961136.938435228
"tensor(619708.6620, dtype=torch.float64)",929013.8991056624
"tensor(610659.1437, dtype=torch.float64)",930470.073946199
"tensor(617275.8175, dtype=torch.float64)",929385.0461418328
"tensor(625090.2447, dtype=torch.float64)",920001.3548045794
"tensor(611835.8050, dtype=torch.float64)",927322.4971652118
"tensor(623391.9807, dtype=torch.float64)",922106.9294758848
"tensor(628383.9050, dtype=torch.float64)",927027.8161443776
"tensor(630381.0184, dtype=torch.float64)",920741.1833893543
"tensor(636351.9342, dtype=torch.float64)",903694.4946163784
"tensor(611643.6940, dtype=torch.float64)",876530.4684178999
"tensor(635796.4602, dtype=torch.float64)",874107.013585904
"tensor(641783.4007, dtype=torch.float64)",864160.283611953
"tensor(614835.4655, dtype=torch.float64)",848704.4171006802
"tensor(603890.5374, dtype=torch.float64)",846345.6271544842
"tensor(631156.0136, dtype=torch.float64)",861069.5900687826
"tensor(626133.3903, dtype=torch.float64)",854090.3841472346
"tensor(630830.9432, dtype=torch.float64)",881146.1966143876
"tensor(617014.3314, dtype=torch.float64)",884551.1174448937
"tensor(619157.2259, dtype=torch.float64)",880672.6120424082
"tensor(613580.6488, dtype=torch.float64)",882034.8313471063
"tensor(633371.1688, dtype=torch.float64)",896312.7764058707
"tensor(604399.8867, dtype=torch.float64)",879327.667754929
"tensor(612801.9842, dtype=torch.float64)",888337.9834348398
"tensor(618105.3139, dtype=torch.float64)",869862.7439423266
"tensor(624226.6430, dtype=torch.float64)",879601.5927634009
"tensor(624570.1787, dtype=torch.float64)",855709.9077137093
"tensor(619682.2478, dtype=torch.float64)",854208.1464650356
"tensor(615363.6565, dtype=torch.float64)",845468.1213796901
"tensor(621912.4483, dtype=torch.float64)",831899.1431370868
"tensor(615334.6032, dtype=torch.float64)",841623.8709004227
"tensor(614829.4538, dtype=torch.float64)",843883.9776895612
"tensor(611042.6567, dtype=torch.float64)",830813.5504472662
"tensor(625528.9640, dtype=torch.float64)",836069.0749825772
"tensor(621653.4900, dtype=torch.float64)",839896.8330964134
"tensor(614746.0522, dtype=torch.float64)",825059.4130239196
"tensor(633637.2364, dtype=torch.float64)",815382.4545186748
"tensor(620415.9605, dtype=torch.float64)",784871.1995534928
"tensor(607837.6814, dtype=torch.float64)",792828.8884605963
"tensor(637746.9251, dtype=torch.float64)",801776.2764292087
"tensor(620824.9628, dtype=torch.float64)",803146.7247144578
"tensor(624298.0873, dtype=torch.float64)",819840.5943036792
"tensor(618979.1773, dtype=torch.float64)",839270.8973372162
"tensor(609126.3614, dtype=torch.float64)",850071.0562468112
"tensor(619854.8972, dtype=torch.float64)",851427.4044578067
"tensor(625055.3493, dtype=torch.float64)",880952.636643932
"tensor(626859.9862, dtype=torch.float64)",892138.3823454407
"tensor(634209.2370, dtype=torch.float64)",910799.4751756208
"tensor(613008.9571, dtype=torch.float64)",895023.1408539298
"tensor(630112.2165, dtype=torch.float64)",888657.7384844084
"tensor(617675.0467, dtype=torch.float64)",889441.8325490125
"tensor(614965.2045, dtype=torch.float64)",889150.69590408
"tensor(613217.8879, dtype=torch.float64)",903596.498083747
"tensor(615638.8928, dtype=torch.float64)",904368.099897553
"tensor(616626.9612, dtype=torch.float64)",901216.6176467539
"tensor(614141.2175, dtype=torch.float64)",890599.2273082985
"tensor(609875.1246, dtype=torch.float64)",883672.732890262
"tensor(609318.9824, dtype=torch.float64)",886826.8013464832
"tensor(605169.3911, dtype=torch.float64)",884582.6483920029
"tensor(606494.6887, dtype=torch.float64)",881536.6931091772
"tensor(612517.8735, dtype=torch.float64)",891639.3593562214
"tensor(620108.2891, dtype=torch.float64)",894844.3535728558
"tensor(617900.2535, dtype=torch.float64)",885560.4687098993
"tensor(624683.6409, dtype=torch.float64)",887138.4961224563
"tensor(623428.7218, dtype=torch.float64)",881144.2759942573
"tensor(634038.2719, dtype=torch.float64)",875834.346702467
"tensor(609410.9314, dtype=torch.float64)",877536.0475360465
"tensor(631713.1193, dtype=torch.float64)",875749.462850066
"tensor(630000.1488, dtype=torch.float64)",888713.8709163486
"tensor(617010.9687, dtype=torch.float64)",877434.0136275103
"tensor(626595.7336, dtype=torch.float64)",870801.299664611
"tensor(613514.4044, dtype=torch.float64)",882657.0541434987
"tensor(619570.7991, dtype=torch.float64)",893328.8074328906
"tensor(610109.4537, dtype=torch.float64)",895164.952227628
"tensor(630174.6620, dtype=torch.float64)",874517.1106967025
"tensor(631245.7631, dtype=torch.float64)",855452.4509716692
"tensor(622871.4399, dtype=torch.float64)",861894.0079703714
"tensor(607127.9924, dtype=torch.float64)",870268.1717641024
"tensor(607721.7993, dtype=torch.float64)",878594.5177651587
"tensor(630540.1247, dtype=torch.float64)",877416.2282339485
"tensor(619612.6443, dtype=torch.float64)",885792.0834578505
"tensor(626557.5320, dtype=torch.float64)",879543.6899105203
"tensor(618930.5107, dtype=torch.float64)",885609.5329150894
"tensor(617317.7765, dtype=torch.float64)",874491.4704373936
"tensor(619754.1496, dtype=torch.float64)",886680.2020957837
"tensor(598420.3674, dtype=torch.float64)",879413.8859970676
"tensor(619513.3028, dtype=torch.float64)",875215.7352423136
"tensor(615342.3604, dtype=torch.float64)",876040.8418234906
"tensor(606560.3691, dtype=torch.float64)",864472.4370685418
"tensor(634107.9514, dtype=torch.float64)",860531.7628566052
"tensor(629714.2164, dtype=torch.float64)",861070.3688588442
"tensor(627425.6151, dtype=torch.float64)",868120.1959452627
"tensor(613092.7916, dtype=torch.float64)",860875.8349274991
"tensor(609688.5287, dtype=torch.float64)",863293.6403035824
"tensor(619044.9853, dtype=torch.float64)",855143.1570459311
"tensor(601242.2765, dtype=torch.float64)",858564.6588890814
"tensor(618951.6047, dtype=torch.float64)",835213.5369093926
"tensor(629206.3117, dtype=torch.float64)",848355.0462371431
"tensor(608879.6947, dtype=torch.float64)",842937.8912715934
"tensor(607449.7370, dtype=torch.float64)",845050.1364214801
"tensor(608224.5971, dtype=torch.float64)",853797.344840098
"tensor(621028.8540, dtype=torch.float64)",851946.8944283369
"tensor(607483.1467, dtype=torch.float64)",849028.2713857493
"tensor(608514.9175, dtype=torch.float64)",851422.6017751013
"tensor(625856.3344, dtype=torch.float64)",857023.0815843304
"tensor(618084.2470, dtype=torch.float64)",849441.9772126359
"tensor(625387.5524, dtype=torch.float64)",848123.2237062892
"tensor(625310.6167, dtype=torch.float64)",840203.9677742268
"tensor(615807.6781, dtype=torch.float64)",827229.8432679347
"tensor(616203.7435, dtype=torch.float64)",829210.3934295687
"tensor(595208.7311, dtype=torch.float64)",822963.602628952
"tensor(612623.5899, dtype=torch.float64)",808267.9519850722
"tensor(607583.1531, dtype=torch.float64)",809558.8011173204
"tensor(610702.3135, dtype=torch.float64)",814575.4899825872
"tensor(614523.4711, dtype=torch.float64)",804439.6339637311
"tensor(632382.5621, dtype=torch.float64)",810908.6059869556
"tensor(598505.7439, dtype=torch.float64)",801321.8835996191
"tensor(616894.9523, dtype=torch.float64)",814761.5401000986
"tensor(613358.0083, dtype=torch.float64)",830933.9718108748
"tensor(627262.1404, dtype=torch.float64)",848224.4778075173
"tensor(591286.8507, dtype=torch.float64)",881204.8304613654
"tensor(608702.7227, dtype=torch.float64)",918331.3745416111
"tensor(601306.2128, dtype=torch.float64)",906525.5885150225
"tensor(602145.9840, dtype=torch.float64)",899208.4900036224
"tensor(600779.3673, dtype=torch.float64)",879862.9413258425
"tensor(600774.7664, dtype=torch.float64)",884921.0819733829
"tensor(608279.8748, dtype=torch.float64)",920755.3149912079
"tensor(600019.8010, dtype=torch.float64)",956872.3651818479
"tensor(592527.2723, dtype=torch.float64)",996408.1057406841
"tensor(534109.5625, dtype=torch.float64)",1003276.6100771308
"tensor(550075.5662, dtype=torch.float64)",1140122.5310729728
"tensor(567999.2038, dtype=torch.float64)",1164554.6966008288
"tensor(559085.5062, dtype=torch.float64)",1285665.9177525868
"tensor(552723.2434, dtype=torch.float64)",1334494.9073099517
"tensor(554378.0698, dtype=torch.float64)",1435220.5983618523
"tensor(563672.3637, dtype=torch.float64)",1371671.9175152343
"tensor(542953.2915, dtype=torch.float64)",1285133.811640844
"tensor(562547.2734, dtype=torch.float64)",1362138.840639805
"tensor(556799.7413, dtype=torch.float64)",1230444.2741958906
"tensor(558188.4495, dtype=torch.float64)",1222999.5167713033
"tensor(562774.6445, dtype=torch.float64)",1204365.9447542124
"tensor(536418.0490, dtype=torch.float64)",1218366.5392653581
"tensor(550244.1738, dtype=torch.float64)",1223381.7184213956
"tensor(559904.9915, dtype=torch.float64)",1185973.0726315125
"tensor(560579.4767, dtype=torch.float64)",1235131.9520374876
"tensor(568118.3181, dtype=torch.float64)",1229933.5412226326
"tensor(568507.1047, dtype=torch.float64)",1267281.3831577306
