SCR,Realized_Delta_BOF
-131390.7756023130,140624.03143451600
-128660.24802851400,148740.8875457460
-127960.58234826200,146156.7946051550
-126453.05052753400,143472.75647428700
-126541.42996864200,140659.07499658800
-127144.66294781600,137986.79752264300
-127257.94637775400,138454.94483721500
-127847.04109292900,136223.04731919700
-127149.73319826300,135881.31691249600
-126243.7353039690,134213.87576534100
-125358.69622453500,133007.04513086800
-123763.16292635000,133729.37115997700
-125161.69218220400,131978.5885376210
-125824.01694896700,131587.26601040600
-124914.4363345250,129352.22372150600
-125624.56013475300,128977.62078410700
-125461.2098735320,133096.38707107500
-124600.88499118300,132063.9357269550
-124795.27774592400,127478.52182527800
-124914.46156332500,125455.6115094710
-123801.66919107100,129262.61719838000
-122743.49618929400,127419.58112172800
-122968.77081113100,122946.30368236900
-125107.89526840800,123114.92987332400
-125819.46521129500,127075.83454074800
-124714.56481940200,129262.52071625200
-123433.84443322300,129766.2279458820
-122813.1613503950,129247.5823822220
-123781.9441118860,131333.51514519400
-122506.57571556900,131949.84628506100
-122656.9305100740,130967.55876614600
-122767.49428541800,132347.84151878800
-122695.03403174600,134176.62781683600
-121920.36504229300,134417.90613034700
-122317.96131760900,135353.94676031600
-121851.08069607400,135538.3658309470
-121866.18659876300,134835.11131663700
-121256.80654915200,132246.85948626900
-120763.85033306600,127003.50529915300
-119758.44787161000,121060.54825018100
-120112.34941722400,117826.83427507400
-120370.27340521000,101222.26179042300
-121748.14020050900,95394.82267530440
-123200.85320175,99631.45439053640
-123554.84332748800,98048.50051703000
-122764.81827987700,108017.45959251700
-122727.31515454400,98946.25446416230
-122489.39885838000,90999.0764908368
-122038.6632560020,63588.99989511040
-121579.43705012600,62089.66429613220
-121137.35699351900,51915.64573713810
-120520.64095756200,12224.979421393900
-121410.89332090600,16471.85133961860
-121707.31194691200,-18642.325633052900
-124119.48859807300,-22376.811424600500
-124507.23035537900,-47402.09390215790
-123382.34797414000,-41155.922261344700
-125711.61389068200,-40931.127943685000
-124921.65012397100,-53893.80933985320
-124391.86398655400,-31671.565710266200
-122817.96946170400,-24794.516010838400
-122591.902414832,-8624.272861700270
-121392.43342578000,-12804.455900584100
-121412.915022255,-5581.083938617730
-120955.950589346,-6654.266041543100
-121155.19017348800,-16224.693391765100
-121951.85285879800,-12623.164810339500
-122491.9104243960,-14651.199429901900
-122311.19426636100,-4252.683280728530
-120564.67818582300,-2836.1557958819900
-120097.15554171400,5629.123402619150
-120224.58222944600,16476.96175719040
-119865.21411728400,22103.48672149380
-120621.94238355900,18876.301166968900
-119439.02702956400,17809.730330952300
-120753.63004906400,23432.746710066900
-120461.54808603100,15803.000740865100
-120534.60173778500,7129.291860081490
-119809.32841813800,7971.642429245400
-119558.02886834200,12447.699105906100
-120863.99751031600,16105.710138334200
-120117.14094994900,21000.78770816520
-120785.02301614400,22313.148939430600
-123305.41536598100,30083.056311117700
-124041.0930406850,30002.909086045700
-125181.37103912700,21454.32092102910
-124318.0875555080,28425.655264873100
-126711.71086360100,23867.214984713600
-126282.95966887800,33037.50427024240
-126727.55157401700,33478.463614485900
-124927.56363085600,29402.625566785600
-125826.36102430000,22927.42137811690
-126123.92240417700,20350.125818162800
