realized_delta_bof_values_1,scr_values
140624.03143451607,-152914.93855338628
148740.8875457464,-148435.66593590035
146156.7946051549,-147101.24874213495
143472.75647428748,-145880.39973396834
140659.07499658782,-141111.01814310747
137986.79752264253,-145608.541203556
138454.94483721466,-142167.84500703448
136223.04731919686,-152194.56610502396
135881.31691249553,-151105.32068064244
134213.87576534064,-150129.59795106968
133007.04513086786,-146296.4185073904
133729.37115997658,-145510.9355640378
131978.5885376206,-148249.9857364194
131587.26601040643,-148249.3582570656
129352.2237215062,-144827.4894910343
128977.62078410712,-151465.42339571222
133096.38707107469,-152229.23916669717
132063.9357269546,-147055.03283893404
127478.52182527818,-147585.02718380542
125455.6115094705,-147441.1199359252
129262.61719837984,-149123.3451089818
127419.58112172828,-150825.01750183088
122946.30368236885,-148757.0817923211
123114.92987332352,-145580.57058188782
127075.83454074792,-149446.81216691242
129262.52071625156,-149953.85028102313
129766.2279458819,-149485.79621761275
129247.5823822217,-144858.7412692322
131333.51514519402,-150975.09211177978
131949.84628506063,-154482.9296461512
130967.5587661456,-149159.91532288233
132347.84151878813,-146112.20316023918
134176.62781683612,-148794.80304100557
134417.90613034694,-150387.62074073878
135353.94676031568,-148056.55199126928
135538.3658309473,-147770.67490114336
134835.11131663655,-147551.03856209287
132246.85948626883,-151999.885299424
127003.50529915316,-152945.0045998461
121060.5482501808,-152879.44401179726
117826.83427507384,-149860.020050462
101222.26179042296,-149266.77588719284
95394.82267530436,-153579.78426121685
99631.4543905364,-152896.19279653847
98048.50051703,-146177.1657283251
108017.45959251736,-146920.90170148676
98946.25446416228,-153647.7151214451
90999.0764908368,-147642.56082414518
63588.99989511038,-149270.70335187338
62089.66429613216,-149868.14613584912
51915.64573713811,-150295.84941495213
12224.979421393946,-152717.0496658876
16471.85133961856,-149094.5982137414
-18642.325633052853,-146396.0521573015
-22376.811424600543,-149377.36407495424
-47402.09390215785,-149563.46906106593
-41155.922261344735,-150537.0784834179
-40931.127943685045,-148975.36980905774
-53893.80933985324,-151451.89745153108
-31671.56571026624,-148219.6488096647
-24794.516010838444,-146329.49348451488
-8624.272861700272,-155499.63418326274
-12804.455900584117,-148415.478940724
-5581.083938617725,-153370.6335099325
-6654.266041543102,-145577.32015646304
-16224.69339176512,-152933.13514611515
-12623.164810339456,-150537.33711036597
-14651.1994299019,-148326.05944764457
-4252.683280728525,-154511.08805257807
-2836.1557958819903,-151827.652073343
5629.123402619152,-149070.67479554948
16476.96175719041,-153675.52515059768
22103.48672149377,-151321.46670088937
18876.30116696889,-152630.6011653018
17809.730330952327,-154796.96863691564
23432.74671006692,-154922.03152326358
15803.000740865127,-155117.08323839164
7129.291860081488,-152013.68917180458
7971.642429245403,-145937.99710055353
12447.699105906067,-150901.14604121403
16105.710138334194,-154497.8663748438
21000.78770816524,-148496.07079843312
22313.1489394306,-153886.36960681825
30083.05631111772,-151414.34582351608
30002.909086045693,-153706.14654024155
21454.32092102908,-150163.84665533528
28425.655264873058,-156413.59310258232
23867.214984713588,-153268.9681951909
33037.50427024241,-155307.6479915124
33478.463614485925,-154971.67964676153
29402.625566785573,-154138.06547087518
22927.42137811694,-158315.69361735077
20350.125818162807,-155125.7572694386
21050.13267245423,-156523.93355086373
20504.14368551981,-148004.5878704306
28582.735847305277,-156660.2538155139
30683.97098208661,-154807.48299131755
33653.443209872465,-156222.75645470052
33594.990909582935,-159101.94467165475
36096.02559600433,-161904.81833589362
39377.688825937454,-157808.77453479063
