realized_delta_bof_values_1,scr_values
140624.03143451607,-150871.77122086743
148740.8875457464,-143011.37068444997
146156.7946051549,-144901.36029616502
143472.75647428748,-147772.73546490478
140659.07499658782,-145190.95741553765
137986.79752264253,-144966.77523115216
138454.94483721466,-143540.12842325642
136223.04731919686,-147008.28908750936
135881.31691249553,-145776.48127829193
134213.87576534064,-151859.04123135394
133007.04513086786,-141264.68467588545
133729.37115997658,-146613.41491343887
131978.5885376206,-147214.3383662428
131587.26601040643,-145343.2302151981
129352.2237215062,-145572.0932745422
128977.62078410712,-147434.10717491098
133096.38707107469,-149282.1300833109
132063.9357269546,-153004.20423622488
127478.52182527818,-144668.10841300097
125455.6115094705,-146520.21214886484
129262.61719837984,-149022.6018005072
127419.58112172828,-152117.2804140071
122946.30368236885,-148577.6615224708
123114.92987332352,-147614.70952347093
127075.83454074792,-150977.23153826914
129262.52071625156,-148893.94442862045
129766.2279458819,-146732.05025300814
129247.5823822217,-146803.81473289285
131333.51514519402,-143287.59375527827
131949.84628506063,-146807.4235435345
130967.5587661456,-140879.21651458947
132347.84151878813,-148707.83617922608
134176.62781683612,-148217.2322186443
134417.90613034694,-145641.09323914946
135353.94676031568,-148605.88661315604
135538.3658309473,-146447.16887795852
134835.11131663655,-145371.69044052495
132246.85948626883,-140501.62083392532
127003.50529915316,-149367.09502119196
121060.5482501808,-144527.84572135002
117826.83427507384,-147873.941345883
101222.26179042296,-144296.42308489542
95394.82267530436,-154305.70167882266
99631.4543905364,-145677.25236907895
98048.50051703,-148781.9191114967
108017.45959251736,-148256.04804576928
98946.25446416228,-148668.40118247367
90999.0764908368,-144450.06640725274
63588.99989511038,-147380.9806249795
62089.66429613216,-146838.7147231614
51915.64573713811,-150543.58102632812
12224.979421393946,-150962.09558097128
16471.85133961856,-148839.97258401808
-18642.325633052853,-150285.02187961925
-22376.811424600543,-150011.07127793023
-47402.09390215785,-151461.1780031122
-41155.922261344735,-148923.8368580799
-40931.127943685045,-147178.71277233618
-53893.80933985324,-153125.19831466526
-31671.56571026624,-147359.74314492408
-24794.516010838444,-148307.4166494545
-8624.272861700272,-147523.84472114214
-12804.455900584117,-145478.40205967645
-5581.083938617725,-148814.85755854147
-6654.266041543102,-147823.16211630972
-16224.69339176512,-148988.53715143332
-12623.164810339456,-148302.98853881707
-14651.1994299019,-146313.61654888064
-4252.683280728525,-144161.56702172983
-2836.1557958819903,-149692.3250604504
5629.123402619152,-142962.63465978755
16476.96175719041,-146825.01605463593
22103.48672149377,-147274.15344230176
18876.30116696889,-147059.4814239913
17809.730330952327,-147602.862778632
23432.74671006692,-145783.1135480102
15803.000740865127,-144919.86585020187
7129.291860081488,-144472.34518856677
7971.642429245403,-142519.434777029
12447.699105906067,-145649.50866206308
16105.710138334194,-148208.5612801653
21000.78770816524,-143262.3567675929
22313.1489394306,-149175.35433036697
30083.05631111772,-147302.15818721423
30002.909086045693,-144510.82732696974
21454.32092102908,-143585.38776911583
28425.655264873058,-151105.82682645423
23867.214984713588,-147489.18073239367
33037.50427024241,-150580.22670685084
33478.463614485925,-145906.64420423956
29402.625566785573,-147625.9082071726
22927.42137811694,-151284.37081529925
20350.125818162807,-143742.19386677374
21050.13267245423,-155270.04149505508
20504.14368551981,-147568.8000677003
28582.735847305277,-147667.33422683584
30683.97098208661,-150541.43747902365
33653.443209872465,-155010.81634409027
33594.990909582935,-149510.9893847304
36096.02559600433,-150837.6524826153
39377.688825937454,-153244.0256958535
41661.44851750322,-151643.95503021026
46596.284663930535,-149722.48777932825
48497.16593611415,-144466.286880523
44922.97489207715,-149430.54260157584
43697.68980700476,-146727.26436342532
48535.8257590268,-147703.57318917525
48796.807576887775,-150948.20996045205
45661.39866281825,-150669.54933932016
53118.60514293064,-146209.08700338897
58129.94324649312,-151418.09262399605
51106.27972246648,-150315.31741819213
48591.38746159373,-149042.40423552739
37160.427466371446,-151675.5460902733
34621.418286661734,-154693.90040614494
35383.81204795465,-157596.50773056122
41504.21559578285,-153216.89810625784
45355.835173456464,-149364.57961088207
45948.981339875376,-151051.26625802004
45991.196595877525,-155247.65427206075
47979.63550769549,-149520.47138799663
45764.03031874844,-146371.33803412298
37601.78521095298,-150631.74007102838
35370.02943347825,-145345.6270834697
30119.716848735698,-151250.95500988487
24820.94109094923,-144644.59074220798
27076.024972306564,-145293.13171580902
30065.543186456664,-151977.63186579614
35951.79749180796,-145420.7819559402
35727.93252516608,-148273.6133432853
41334.99041463563,-145389.34167065818
41251.506806688616,-145524.09349088088
41787.73177447135,-140055.4631964366
39800.39713853435,-146438.86526483195
41964.663957212,-145064.01225150438
38347.11107688071,-148514.49759686337
39266.30862733256,-152649.4860342221
42357.851744427,-146168.8518757924
41214.88172729546,-146782.12487027372
38171.01170467143,-148645.82529688094
38999.96758983785,-147907.10153903076
42751.50509361224,-149572.94727772643
42354.27727566089,-149233.68443553764
39644.585576583166,-148924.86508095416
38086.2771426182,-151019.22971982395
37233.10072672577,-145424.18755617068
36898.09291169804,-145249.22932604208
41044.46717852075,-157739.413507212
46229.98376522225,-148015.37691102125
44397.12207159225,-147271.39126645515
44010.953687925125,-147812.0486657822
45957.79703592521,-146417.8448078743
48564.87092195486,-145750.74377900778
50683.52632644703,-146740.50657220065
48614.62018183607,-152467.63286278414
51864.64439869975,-147510.22033390362
45811.90504889446,-153389.81833267416
44931.92916926299,-151757.2751446261
40928.40351931786,-149377.96343054413
39464.97091404337,-145652.6683310576
38532.45868137048,-151382.00187390862
38617.51780789939,-146829.44085498195
40687.097082174616,-151305.5636522273
43088.65995991521,-150863.55100256516
40497.75873309991,-145261.1861853654
39300.41949391365,-145724.1576448784
35203.646416276344,-147187.00182817198
35520.800697034225,-148038.9310878941
33350.131240874296,-148996.73799805876
33005.511531099095,-150835.9706309728
31268.786755519686,-148659.89240225338
36038.45804876345,-149915.5439418081
41741.922235089936,-141010.77833683722
41538.63151291607,-147371.3968732507
36559.532713033725,-140668.121610813
36048.18850212637,-145591.13556241026
32150.115816839272,-145162.0569172447
38084.65632382128,-137606.46431796649
38221.946220257785,-143805.34746524482
40165.64310952218,-143369.84627458497
39171.0285847669,-149756.1467535028
37847.10416966956,-139443.08622940176
33019.30154457595,-142537.16206997292
27081.322998343618,-146223.85059561674
28255.68364614109,-143838.16514656993
25468.185260815662,-143804.79604616895
22265.304335006746,-144629.65145275922
25308.46375553333,-142292.49347131085
28704.05682706507,-143332.5625085296
29767.62736756075,-143110.65557457443
36714.58160739264,-147732.8504668655
36601.597050411045,-141312.01799467122
32865.55816472089,-144251.40359178858
35782.66564458003,-143433.14084854498
37597.47628142475,-141460.2378538522
38935.209231416346,-146037.62826776764
45404.9709244452,-138618.14961247885
44260.314779337496,-145725.0591382183
47418.55196288892,-145381.71199995285
46163.1284985824,-144039.2078437582
45697.62916886341,-144946.8342149077
44337.86837794608,-144706.46917145603
45173.34943135886,-144403.28614824786
43169.75878886413,-147033.81909244505
40322.36380669649,-144100.83050447545
36051.65429526847,-143392.81542849593
34676.82790972188,-145257.86426817245
37063.69362348202,-143018.41717657706
34466.81034780585,-138909.65896495737
33661.568905540626,-148093.8961181161
24060.73536456027,-145883.39052474574
25764.11131145921,-146615.84881740724
23902.601148148533,-146965.09983029962
27462.13757860556,-142283.64422387895
31690.873293884448,-142478.74973843325
39801.86183540709,-148930.5881513164
46378.04197272658,-140762.611197193
44655.40650828776,-144282.00211597615
48855.69262606464,-139539.69588353345
48901.20053365966,-140476.92160526317
52634.56301375851,-149336.99963040795
50177.54976718861,-143579.30622407573
50841.38299415168,-145289.79923045382
53735.653397405054,-141848.5441607307
54324.42417207395,-144534.1147609972
54540.964922504965,-142223.87448881543
57907.22004924889,-145592.4666109362
55727.25646229717,-145981.46343268035
53307.74233452464,-147834.6130616375
53475.40482888266,-147968.01773099386
53068.97589918994,-145502.18897251322
53857.4183136659,-146398.78861273412
55416.13192812819,-144998.7166681336
60350.88986748015,-148067.3568334535
56971.13045140693,-139216.20914458437
56140.29176862759,-144600.0529555525
58682.69445363013,-140092.5903139697
56826.8556189806,-144009.77032907607
57475.93006293033,-146376.11594281122
59714.51523525128,-143353.0356044557
56423.70722756197,-141251.33219931438
59089.02839536872,-143082.15842437884
55778.25505452743,-138473.61059832713
53793.89732740109,-140579.469959323
55321.90725853015,-139925.4022210375
56917.87698823982,-142051.7745246114
57495.7387056778,-141469.72119842246
53379.00545072823,-147369.55760343277
51035.40033087018,-146173.56122730687
52689.41250722879,-143656.03169202345
50687.5033145108,-147358.96450952554
56174.17380264925,-142433.00876114596
58142.20861011883,-143690.92592127438
56249.5822644356,-137800.97746652624
52787.804064724594,-138663.42683269523
55872.3773220405,-142077.21538751217
53389.77796325809,-146530.3411381239
54605.08228181419,-140691.49303061233
52021.32372164051,-146829.57212121997
53372.55524383229,-141341.46702213198
55995.08309789887,-141282.9845830789
52954.72979686013,-145739.39845817335
49817.30317342316,-141094.13575272847
52061.5552026931,-144635.50868875958
50971.16787378816,-148885.98840070723
48852.34612470004,-142165.959522856
47716.01594600815,-146234.8546689225
47392.41019530303,-146714.47749437497
48064.84201139189,-148765.01088150006
43218.787127928925,-143184.89549988738
43329.6231390168,-145191.70885709728
45009.82182400103,-141450.86285782832
42462.730958452565,-142422.3396489529
40481.948396864,-143306.61355310105
42362.01208419132,-145271.68852467308
36431.1013090068,-142265.72272437753
39040.14490874775,-140191.8620769042
40691.36503973184,-145098.37843543847
39040.87873905385,-146443.23314520853
39837.68385718088,-141881.53990545977
36883.5281522288,-143674.94736754295
37341.42747365078,-144985.14463923787
35872.75307736627,-141061.53665177434
33483.77961410547,-143803.26209838977
32652.419054597965,-148499.08330727264
31258.96514351177,-143424.1106142693
31467.928297008853,-145672.2422949807
27372.75429331395,-145300.41536093925
28195.270439603948,-149097.04565800863
26062.381331495475,-141414.48584369518
30902.17371515627,-142426.05996599633
36130.62438595691,-143354.74064727037
37776.78786081425,-144588.59740137734
51698.96285510215,-147703.7413648251
48819.44804511918,-144426.70726459642
44709.64170798147,-148346.842960608
52944.11926107912,-145998.65296256525
43180.54269605293,-144821.5762912295
44450.28072043648,-148266.51576693408
49375.67763866414,-125710.95840374281
76776.25331045152,-116172.66131404204
77900.7890527451,-119702.39054008765
90367.37716978928,-114042.1363340711
133125.34233262797,-110115.32558031176
131920.06626428338,-107508.09133024543
170179.15043233056,-97962.81705793484
173991.32044069876,-75103.03882524722
206057.84188749103,-75383.6559007452
196361.04801816144,-76182.34846665396
188154.19234412225,-73023.1132412183
203735.35767552909,-73771.32210849445
178230.97795942752,-68884.69808293298
170441.7866244656,-70507.78355223087
150550.55565345054,-69837.84095370142
154981.13786818914,-72161.04572953627
149242.64704307192,-74407.9774151395
148007.7633135931,-78195.35079428995
158700.35977998096,-79006.22725940956
156225.60202826,-84034.72177553165
165634.94541604316,-87551.91128869046
151843.53396234429,-95077.34946115474
150530.40421557042,-99690.14923525177
145199.11072291026,-104982.83035260357
132023.43216888397,-99071.1528079798
124692.65003410973,-100058.43986755576
131066.2927926596,-104333.69446741305
127516.86414236762,-103691.34139935736
125148.48984305572,-105173.18942621564
130420.28933654864,-102910.51411561662
138673.9746595138,-107207.26834949125
134166.43151631893,-102014.66047722138
130315.60553665589,-105755.37175995593
127661.15952360316,-105296.19221293383
122915.51547580956,-101428.50357824808
120784.89974353602,-105191.64702721866
112406.14781779364,-101743.37342457625
112672.38023228012,-103493.86181778199
122372.8750060968,-114284.5976284326
116363.5411065754,-114405.33686835702
122662.7865778259,-111796.46448929024
115828.10840357176,-112706.90379013524
114072.71617998696,-112358.04278335185
116409.76636089243,-112545.99115279206
120588.644652723,-112212.87916908333
123227.68738594536,-105687.71378241468
117867.95064494829,-106826.93039722611
112862.89675614354,-109119.03865386115
105112.75576736266,-110181.7085679422
108391.96230354453,-107848.40640790698
103301.3168337514,-113092.79060114018
102333.04024015636,-111892.41489675287
97771.34199377242,-108520.18480171308
99566.7881417208,-111140.90174729849
98166.60445437848,-109552.93015146571
96127.53455365985,-112540.61177400372
95506.6135928121,-114123.86476081687
98664.10351563548,-119336.18610407885
96829.14814402442,-109745.00630914362
93786.77402236918,-113356.83171754664
88845.88555533334,-113362.87200537212
92749.8672213616,-108531.08739018375
85810.58713313204,-115440.03526123606
80984.20058773749,-109368.30688834832
88961.56993780634,-110763.858022374
90188.2062616736,-110744.37060774962
104815.15794796032,-110685.86004429637
101684.09936781076,-108152.91928115913
