SCR,Realized_Delta_BOF
"tensor(697862.1701, dtype=torch.float64)",1306435.8699775226
"tensor(688299.3393, dtype=torch.float64)",1343184.772324932
"tensor(686804.8869, dtype=torch.float64)",1306412.3212240618
"tensor(702464.5248, dtype=torch.float64)",1299678.6279760334
"tensor(696571.4080, dtype=torch.float64)",1291122.1644423571
"tensor(710247.1267, dtype=torch.float64)",1293680.6916605572
"tensor(692665.6738, dtype=torch.float64)",1299446.032786349
"tensor(700694.3384, dtype=torch.float64)",1292333.8052450211
"tensor(713693.1900, dtype=torch.float64)",1300497.2809871582
"tensor(697005.3989, dtype=torch.float64)",1287935.5001403168
"tensor(714542.0823, dtype=torch.float64)",1280233.548610683
"tensor(706566.7239, dtype=torch.float64)",1281273.1759440566
"tensor(703347.1240, dtype=torch.float64)",1273944.2460015179
"tensor(694635.0450, dtype=torch.float64)",1276813.5019796123
"tensor(701625.0547, dtype=torch.float64)",1267165.1027713332
"tensor(706863.2443, dtype=torch.float64)",1263346.4071320475
"tensor(698499.0246, dtype=torch.float64)",1276916.2413776857
"tensor(707641.1457, dtype=torch.float64)",1271010.3625866664
"tensor(706430.2507, dtype=torch.float64)",1239355.625202857
"tensor(707864.8694, dtype=torch.float64)",1243657.26728797
"tensor(733780.8767, dtype=torch.float64)",1242996.3900756754
"tensor(695246.1456, dtype=torch.float64)",1228961.8682600018
"tensor(714076.3213, dtype=torch.float64)",1198576.29083029
"tensor(699095.7366, dtype=torch.float64)",1204934.0205073562
"tensor(697134.9206, dtype=torch.float64)",1233012.251344821
"tensor(716737.2588, dtype=torch.float64)",1249052.724282781
"tensor(695880.9860, dtype=torch.float64)",1251558.3924344315
"tensor(683866.3047, dtype=torch.float64)",1235309.517554708
"tensor(696376.9474, dtype=torch.float64)",1238128.4963329206
"tensor(712771.5698, dtype=torch.float64)",1244657.311475121
"tensor(702063.5894, dtype=torch.float64)",1241168.6751083024
"tensor(701409.0467, dtype=torch.float64)",1245477.3534864476
"tensor(706171.6716, dtype=torch.float64)",1247672.8769629158
"tensor(712079.2376, dtype=torch.float64)",1245905.3322710344
"tensor(708553.0772, dtype=torch.float64)",1245370.0670665617
"tensor(715229.8410, dtype=torch.float64)",1247411.305584739
"tensor(701854.6798, dtype=torch.float64)",1238527.5215402613
"tensor(691664.9533, dtype=torch.float64)",1225338.9702366695
"tensor(713440.1165, dtype=torch.float64)",1190379.1143609185
"tensor(691633.5501, dtype=torch.float64)",1161848.1884542336
"tensor(698628.0549, dtype=torch.float64)",1150436.860539366
"tensor(722411.7028, dtype=torch.float64)",1093820.9414808305
"tensor(712112.0064, dtype=torch.float64)",1075858.0347237084
"tensor(704409.1327, dtype=torch.float64)",1102802.9554639268
"tensor(715416.7331, dtype=torch.float64)",1082287.6290027085
"tensor(698601.0634, dtype=torch.float64)",1123469.4355684712
