Realized_Delta_BOF,SCR_Values
140624.03143451607,-140688.87852630462
148740.8875457464,-140627.67323356477
146156.7946051549,-143043.87109364755
143472.75647428748,-139583.56649753873
140659.07499658782,-136283.7896060907
137986.79752264253,-139039.88452768663
138454.94483721466,-137805.9907160601
136223.04731919686,-141655.34853778133
135881.31691249553,-137382.16019158813
134213.87576534064,-145107.1425274124
133007.04513086786,-139004.11740707175
133729.37115997658,-137475.46480797426
131978.5885376206,-138062.90551826943
131587.26601040643,-136688.77497292848
129352.22372150619,-136765.82469741793
128977.62078410713,-140368.38864456085
133096.38707107469,-136828.57331979772
132063.9357269546,-136784.1923546513
127478.52182527818,-141607.0070188215
125455.6115094705,-135511.47113408192
129262.61719837983,-139898.91021722308
127419.58112172829,-137854.80390031665
122946.30368236883,-141251.24443647446
123114.92987332353,-139001.3446004934
127075.83454074792,-136132.35325173856
129262.52071625157,-137066.3713555544
129766.2279458819,-140068.81340818026
129247.5823822217,-137588.91425990398
131333.51514519402,-139336.7230327801
131949.84628506063,-138975.47161824035
130967.55876614561,-135854.6629180964
132347.84151878813,-135197.50413003456
134176.62781683612,-135997.25788163513
134417.90613034694,-141638.92572497495
135353.94676031568,-140182.16500051424
135538.3658309473,-133410.51343027304
134835.11131663655,-141529.2142478955
132246.85948626883,-139440.86620079947
127003.50529915316,-147351.3673579925
121060.54825018079,-136253.6773354024
117826.83427507384,-136248.4762333675
101222.26179042296,-132199.0671512158
95394.82267530437,-133636.22260090004
99631.45439053641,-140023.16043211022
98048.50051703001,-136415.6192865247
108017.45959251735,-132695.0517765502
98946.25446416228,-138811.08546735492
90999.0764908368,-136179.10899442114
63588.99989511038,-135113.0567248438
62089.66429613216,-139308.9710904199
51915.64573713811,-141841.2577786487
12224.979421393946,-137208.3699388668
16471.85133961856,-135504.22696040318
-18642.325633052853,-136333.5144822648
-22376.811424600543,-131220.65906692093
-47402.09390215785,-136172.78339534355
-41155.922261344735,-135111.03490971314
-40931.127943685045,-137015.41774143142
-53893.80933985324,-141397.97116550503
-31671.565710266237,-134620.45791046042
-24794.516010838444,-133701.21831189888
-8624.272861700272,-135745.77171156608
-12804.455900584115,-137663.23866381156
-5581.083938617725,-136453.56134689576
-6654.266041543102,-131521.37022863977
-16224.693391765119,-135815.31038164266
-12623.164810339455,-134719.12491806658
-14651.199429901899,-136276.3518050668
-4252.683280728525,-135516.60208794364
-2836.1557958819903,-133598.99530296584
5629.123402619152,-132922.57958843
16476.96175719041,-136879.55709350988
22103.48672149377,-138039.04753579965
18876.301166968886,-143018.7652333155
17809.730330952327,-138458.08274501262
23432.746710066916,-129440.00510636516
