SCR,Realized_Delta_BOF
"tensor(994894.7446, dtype=torch.float64)",995957.896566783
"tensor(994843.8292, dtype=torch.float64)",995953.1103871214
"tensor(994720.3328, dtype=torch.float64)",995948.3518962363
"tensor(994871.0817, dtype=torch.float64)",995933.9102058661
"tensor(994889.6490, dtype=torch.float64)",995928.9858164594
"tensor(994888.0327, dtype=torch.float64)",995924.2551058129
"tensor(994766.6127, dtype=torch.float64)",995919.4690878169
"tensor(994837.2238, dtype=torch.float64)",995914.7107575327
"tensor(994848.1027, dtype=torch.float64)",995900.5185400415
"tensor(994792.4730, dtype=torch.float64)",995895.8432924643
"tensor(994808.9455, dtype=torch.float64)",995891.1957307622
"tensor(994850.7289, dtype=torch.float64)",995886.575854807
"tensor(994665.8254, dtype=torch.float64)",995881.983663826
"tensor(994821.6703, dtype=torch.float64)",995847.5147294862
"tensor(994857.2031, dtype=torch.float64)",995842.9227188776
"tensor(994833.6651, dtype=torch.float64)",995838.3030668565
"tensor(994819.8305, dtype=torch.float64)",995853.9880011347
"tensor(994926.8737, dtype=torch.float64)",995849.3406348875
"tensor(994909.2947, dtype=torch.float64)",995814.9004921798
"tensor(994833.7577, dtype=torch.float64)",995809.9490301006
"tensor(994791.3457, dtype=torch.float64)",995805.1082382125
"tensor(994722.6021, dtype=torch.float64)",995819.907450082
"tensor(994680.2695, dtype=torch.float64)",995815.0389481098
"tensor(994826.6662, dtype=torch.float64)",995780.5170119968
"tensor(994775.5384, dtype=torch.float64)",995775.7316851488
"tensor(994793.4064, dtype=torch.float64)",995770.9187207161
"tensor(994837.0195, dtype=torch.float64)",995786.4919464557
"tensor(994879.0687, dtype=torch.float64)",995781.7895734161
"tensor(994789.6477, dtype=torch.float64)",995747.4347495389
"tensor(994803.2363, dtype=torch.float64)",995742.7049006122
"tensor(994863.5008, dtype=torch.float64)",995737.947414479
"tensor(994811.2580, dtype=torch.float64)",995753.7967334836
"tensor(994809.0024, dtype=torch.float64)",995749.1221746901
"tensor(994691.6361, dtype=torch.float64)",995714.4642170919
"tensor(994818.7984, dtype=torch.float64)",995709.8728198722
"tensor(994775.6986, dtype=torch.float64)",995705.1708085202
"tensor(994788.4412, dtype=torch.float64)",995720.9919451626
"tensor(994816.1450, dtype=torch.float64)",995716.3728583866
"tensor(994732.8371, dtype=torch.float64)",995681.8266759891
"tensor(994827.8263, dtype=torch.float64)",995677.0141650336
"tensor(994740.4499, dtype=torch.float64)",995672.284650869
"tensor(994818.2692, dtype=torch.float64)",995688.1052649725
"tensor(994714.4816, dtype=torch.float64)",995683.4586724667
"tensor(994850.9507, dtype=torch.float64)",995648.6647114888
"tensor(994815.5577, dtype=torch.float64)",995643.7417322034
"tensor(994802.4348, dtype=torch.float64)",995638.9847189006
"tensor(994753.5258, dtype=torch.float64)",995654.8324626995
"tensor(994734.0179, dtype=torch.float64)",995649.9924247235
"tensor(994707.0269, dtype=torch.float64)",995615.4208919934
"tensor(994744.9837, dtype=torch.float64)",995610.6363578674
"tensor(994840.9044, dtype=torch.float64)",995605.7412224727
"tensor(994854.1706, dtype=torch.float64)",995621.4224950945
"tensor(994793.0980, dtype=torch.float64)",995616.6379321278
"tensor(994837.4831, dtype=torch.float64)",995582.4270856453
"tensor(994815.4309, dtype=torch.float64)",995578.0022292589
"tensor(994818.4027, dtype=torch.float64)",995573.5773927823
"tensor(994817.3863, dtype=torch.float64)",995589.5623698706
"tensor(994722.1379, dtype=torch.float64)",995585.248104331
"tensor(994790.5956, dtype=torch.float64)",995551.9233111619
"tensor(994823.2935, dtype=torch.float64)",995547.4709364612
"tensor(994796.1567, dtype=torch.float64)",995542.7420392104
"tensor(994724.2383, dtype=torch.float64)",995558.4776252628
"tensor(994818.7028, dtype=torch.float64)",995553.9699117589
"tensor(994755.9853, dtype=torch.float64)",995520.3419672446
"tensor(994724.1445, dtype=torch.float64)",995516.0833089149
"tensor(994720.0814, dtype=torch.float64)",995511.6864012687
"tensor(994803.9853, dtype=torch.float64)",995527.6150793848
"tensor(994728.7619, dtype=torch.float64)",995522.886274875
"tensor(994745.3663, dtype=torch.float64)",995488.8169221134
"tensor(994791.7430, dtype=torch.float64)",995484.2265657729
"tensor(994833.1875, dtype=torch.float64)",995479.4979678862
"tensor(994830.2141, dtype=torch.float64)",995495.0389829391
"tensor(994731.7390, dtype=torch.float64)",995490.3932921921
"tensor(994744.5872, dtype=torch.float64)",995485.8029283277
"tensor(994770.2780, dtype=torch.float64)",995481.1572806834
"tensor(994881.4101, dtype=torch.float64)",995476.4286969816
"tensor(994756.2466, dtype=torch.float64)",995441.7525792841
"tensor(994803.1699, dtype=torch.float64)",995436.9135771237
"tensor(994846.2264, dtype=torch.float64)",995432.2405058064
"tensor(994824.8014, dtype=torch.float64)",995447.9466974547
"tensor(994719.6573, dtype=torch.float64)",995442.9694080872
"tensor(994780.8256, dtype=torch.float64)",995408.2668111719
"tensor(994763.8567, dtype=torch.float64)",995403.1514681051
"tensor(994798.6773, dtype=torch.float64)",995418.0829645657
"tensor(994790.7990, dtype=torch.float64)",995413.4376333373
"tensor(994750.4349, dtype=torch.float64)",995378.514856853
"tensor(994855.0656, dtype=torch.float64)",995373.676162371
"tensor(994826.3564, dtype=torch.float64)",995368.7821921762
"tensor(994697.3817, dtype=torch.float64)",995384.349131351
"tensor(994921.7467, dtype=torch.float64)",995379.5104082372
"tensor(994807.0879, dtype=torch.float64)",995344.5611703917
"tensor(994832.2521, dtype=torch.float64)",995339.805586257
"tensor(994733.8069, dtype=torch.float64)",995335.050024975
"tensor(994707.0150, dtype=torch.float64)",995350.7823334853
"tensor(994832.4453, dtype=torch.float64)",995346.0267196258
"tensor(994779.1340, dtype=torch.float64)",995311.2998457808
"tensor(994780.1460, dtype=torch.float64)",995306.4891253206
"tensor(994865.7021, dtype=torch.float64)",995301.5401899627
"tensor(994759.2551, dtype=torch.float64)",995317.0784306973
"tensor(994894.4892, dtype=torch.float64)",995312.4059219449
"tensor(994769.7717, dtype=torch.float64)",995277.8461082081
"tensor(994748.6933, dtype=torch.float64)",995273.1737833713
"tensor(994824.3967, dtype=torch.float64)",995268.1420743704
"tensor(994847.7600, dtype=torch.float64)",995283.4586111022
"tensor(994941.0594, dtype=torch.float64)",995278.6203785685
"tensor(994840.4752, dtype=torch.float64)",995243.4535097862
"tensor(994833.1725, dtype=torch.float64)",995238.6154714539
"tensor(994719.8455, dtype=torch.float64)",995230.5705696653
"tensor(994819.3435, dtype=torch.float64)",995246.024762731
"tensor(994832.6883, dtype=torch.float64)",995241.214357504
"tensor(994734.9499, dtype=torch.float64)",995205.9935176941
"tensor(994790.3934, dtype=torch.float64)",995200.9897929397
"tensor(994706.0249, dtype=torch.float64)",995196.0137371235
"tensor(994867.6259, dtype=torch.float64)",995211.495040055
"tensor(994845.5172, dtype=torch.float64)",995206.5742218045
"tensor(994828.3530, dtype=torch.float64)",995171.6863351612
"tensor(994745.9775, dtype=torch.float64)",995166.9315765967
"tensor(994782.2108, dtype=torch.float64)",995162.0662663082
"tensor(994780.2290, dtype=torch.float64)",995176.80063437
"tensor(994764.8131, dtype=torch.float64)",995171.9352755621
"tensor(994722.4871, dtype=torch.float64)",995136.9656800925
"tensor(994855.3743, dtype=torch.float64)",995132.017587791
"tensor(994861.8283, dtype=torch.float64)",995126.8760209501
"tensor(994788.2940, dtype=torch.float64)",995142.1074551943
"tensor(994759.6221, dtype=torch.float64)",995137.1316939326
"tensor(994866.6496, dtype=torch.float64)",995102.1080374167
"tensor(994828.5418, dtype=torch.float64)",995096.9113400979
"tensor(994697.2152, dtype=torch.float64)",995091.9081629561
"tensor(994801.8364, dtype=torch.float64)",995107.2772759686
"tensor(994672.2885, dtype=torch.float64)",995102.2740465681
"tensor(994749.8540, dtype=torch.float64)",995066.8369866741
"tensor(994761.9855, dtype=torch.float64)",995061.751037801
"tensor(994718.4647, dtype=torch.float64)",995056.6927558071
"tensor(994702.7821, dtype=torch.float64)",995072.0336836084
"tensor(994849.1562, dtype=torch.float64)",995067.0859134787
"tensor(994874.7346, dtype=torch.float64)",995031.5395405713
"tensor(994823.0025, dtype=torch.float64)",995026.4814118728
"tensor(994820.8475, dtype=torch.float64)",995021.450948655
"tensor(994802.7555, dtype=torch.float64)",995037.0953780889
"tensor(994842.7680, dtype=torch.float64)",995032.0648612112
"tensor(994803.9566, dtype=torch.float64)",994996.4644641632
"tensor(994696.2528, dtype=torch.float64)",994991.2683194096
"tensor(994807.5806, dtype=torch.float64)",994986.1827567797
"tensor(994814.5219, dtype=torch.float64)",995001.4949581655
"tensor(994736.2083, dtype=torch.float64)",994996.3540649863
"tensor(994748.8280, dtype=torch.float64)",994960.4785619023
"tensor(994796.4974, dtype=torch.float64)",994955.2273289408
"tensor(994752.9236, dtype=torch.float64)",994949.8102967622
"tensor(994632.8015, dtype=torch.float64)",994964.07166713
"tensor(994814.1774, dtype=torch.float64)",994958.8204153512
"tensor(994766.0882, dtype=torch.float64)",994922.9739026008
"tensor(994791.7559, dtype=torch.float64)",994917.4741357195
"tensor(994703.9984, dtype=torch.float64)",994912.1125826803
"tensor(994732.4128, dtype=torch.float64)",994926.677427496
"tensor(994810.3673, dtype=torch.float64)",994921.3158247108
"tensor(994809.3223, dtype=torch.float64)",994885.3601132699
"tensor(994855.8800, dtype=torch.float64)",994880.1092766247
"tensor(994791.1103, dtype=torch.float64)",994874.9137390773
"tensor(994692.4620, dtype=torch.float64)",994889.8373154651
"tensor(994848.3681, dtype=torch.float64)",994884.6969994731
"tensor(994848.7007, dtype=torch.float64)",994849.0465990814
"tensor(994747.0528, dtype=torch.float64)",994843.7130493195
"tensor(994806.3970, dtype=torch.float64)",994838.4071629771
"tensor(994789.5657, dtype=torch.float64)",994853.1367426255
"tensor(994757.2580, dtype=torch.float64)",994847.9137107026
"tensor(994786.8699, dtype=torch.float64)",994812.347533234
"tensor(994860.7823, dtype=torch.float64)",994807.1523494126
"tensor(994692.7686, dtype=torch.float64)",994801.7637569333
"tensor(994822.8330, dtype=torch.float64)",994816.5204282562
"tensor(994761.9381, dtype=torch.float64)",994811.2975888596
"tensor(994763.0809, dtype=torch.float64)",994775.1247809962
"tensor(994814.5422, dtype=torch.float64)",994769.7639947709
"tensor(994794.3782, dtype=torch.float64)",994764.4308699097
"tensor(994753.4589, dtype=torch.float64)",994779.2975213974
"tensor(994910.6067, dtype=torch.float64)",994774.1301432117
"tensor(994837.7235, dtype=torch.float64)",994768.9351588272
"tensor(994906.0856, dtype=torch.float64)",994763.7402015725
"tensor(994908.1972, dtype=torch.float64)",994758.6558014529
"tensor(994822.6695, dtype=torch.float64)",994743.070772535
"tensor(994736.3493, dtype=torch.float64)",994737.9864783426
"tensor(994788.0762, dtype=torch.float64)",994735.2509141533
"tensor(994768.0184, dtype=torch.float64)",994732.5706213323
"tensor(993761.0408, dtype=torch.float64)",994729.9732310197
"tensor(993727.7280, dtype=torch.float64)",994722.0150888239
"tensor(993642.2726, dtype=torch.float64)",994719.3072003005
"tensor(993666.9314, dtype=torch.float64)",994716.6545819553
"tensor(993692.5850, dtype=torch.float64)",994714.0019705367
"tensor(993780.6178, dtype=torch.float64)",994711.1835788117
"tensor(993790.0303, dtype=torch.float64)",994702.5624245418
"tensor(993709.9402, dtype=torch.float64)",994702.3690072048
"tensor(993673.2890, dtype=torch.float64)",994701.8440173643
"tensor(993723.0098, dtype=torch.float64)",994701.7611242657
"tensor(992530.8967, dtype=torch.float64)",994701.7058622077
"tensor(992605.5801, dtype=torch.float64)",994701.622966571
"tensor(992664.7660, dtype=torch.float64)",994701.5124424754
"tensor(992527.2091, dtype=torch.float64)",994701.4295494109
"tensor(992665.1635, dtype=torch.float64)",994701.4019183923
"tensor(992516.0262, dtype=torch.float64)",994701.3190253422
"tensor(992569.0351, dtype=torch.float64)",994700.7387563585
"tensor(992554.0920, dtype=torch.float64)",994700.6282323626
"tensor(992677.1747, dtype=torch.float64)",994700.4071844153
"tensor(992671.8415, dtype=torch.float64)",994700.186136515
"tensor(992643.4171, dtype=torch.float64)",994700.0203506318
"tensor(992525.2350, dtype=torch.float64)",994699.6887687875
