EQ,PE,RE,IG CB,HY CB,GB,MONEY
942382.6539762437,889743.2371373062,914014.8068309355,987014.3292459379,969516.9842256334,1011474.7622217026,996436.9680338032
920222.3411629128,872475.6813561961,906969.7646806298,989653.6557083228,969441.9184976899,1007564.2809472476,996456.4821716395
938643.7295976651,892926.6543106539,923414.1615190071,987637.3305185311,976294.6474598823,1008070.420245137,996456.2884142863
945873.1417601623,907833.5461924195,943695.4108315668,987634.3206057987,984033.0303608186,1007546.0357263455,996436.2206855603
956361.1788862497,918978.4644426957,972267.5883659642,986532.4136825937,987484.6502371324,1008573.4527142076,996436.1653274387
960203.3756463237,920033.6042729054,966072.5164143468,987603.2505993115,991934.5876002272,1008441.2184633034,996435.9992530885
968956.3655250793,925147.6021735726,966927.3489742768,986987.8488734994,991180.0020099597,1010352.5966804716,996456.5098581068
971493.9489545919,929537.4641808061,970645.7047610763,987461.7869537306,991869.9401875038,1009275.4664814316,996456.6205766344
963789.5882965768,926302.0903241779,968076.4983839362,988109.2229445678,991110.4765228843,1010856.4504474895,996436.2760488241
975553.7684335869,937067.7910292145,972548.8523103171,990279.6115855864,993503.8646051964,1012422.9133639828,996436.3037278946
974311.5957062934,948804.7486181057,977041.6265909199,991634.851217471,997047.9763414545,1012062.1527930051,996436.0822953776
976299.6492897319,951271.2804881821,979045.9016906962,992313.6152120857,997290.2740951318,1010144.6258377902,996456.0116198844
989179.8488830145,959448.184392971,982255.7186889875,991096.4649891274,998765.931246256,1009771.395998887,996455.7901829841
994030.7486911375,954465.8277217054,995906.9101974053,992643.2326579005,998441.6867430897,1011896.6018629514,996455.6517849517
1006643.6498104598,963193.2048021449,1008209.0559905539,993726.2345434036,998521.5029648286,1017445.0474227299,996455.4857073337
1000000.3727242148,960064.2383211799,1007750.8682707387,994392.5666413192,1000406.2617312057,1018576.4272386513,996455.3473093401
990724.2631124562,953140.7389366189,1021290.6588146322,996706.1601196149,1000977.154521338,1020555.7473719147,996454.9321070513
1006139.5645449118,971605.8012655402,1038006.3627492689,999373.1799657127,1004100.9788956798,1020821.5935454905,996454.7106704024
1020235.572593145,973187.997877303,1035628.8981723128,999548.00320378,1005059.8649647702,1020613.1693411411,996454.3231564161
1026165.6235716142,971459.492696234,1042255.1284257328,1005963.902845386,1010046.9311603688,1021945.2794119417,996454.489233811
1043891.105918942,996297.4769061973,1055294.8821076623,1008820.0475146321,1013900.814826766,1022012.6569918094,996454.4338746689
1084212.5836463578,1038768.1928214019,1081853.5763607495,1006721.8316037641,1016761.8272322292,1020738.4353181672,996455.0981978868
1089003.015050077,1059220.1387435803,1104365.423908713,1009069.4876273299,1023016.7686811944,1017224.8104139783,996455.2089162498
1084140.8244692911,1036112.4718763519,1082894.3460295734,1012395.6343308081,1021599.8701216156,1016747.8928667557,996455.2642754335
1101827.9260911455,1051916.1766296385,1100440.8664743404,1015956.4644080473,1022837.6238618004,1019267.9410018052,996455.2642754329
1097108.8091685588,1056966.378585852,1097147.8460373164,1017996.5809181972,1027918.6495530439,1018846.8341253881,996455.3473142136
1091894.3586751644,1053479.3010173333,1097379.2125729506,1017628.03763313,1026123.7574123119,1018693.4901159675,996455.0981928422
1106948.089984781,1057172.9455509733,1098337.8837862902,1018053.6061413572,1031128.4513874354,1020709.9696615551,996454.9597949085
1103358.4511831445,1057962.273466045,1088400.5639964282,1020538.8037959626,1032481.8585974019,1022091.1446843635,996454.8213969873
1095247.6817312324,1048230.873779455,1082339.6429393666,1020761.0484488201,1028732.5366206346,1023556.3993176155,996454.6276399288
1100195.1741438017,1049996.3632415258,1065446.969648888,1019440.3427400023,1027229.2201331232,1019934.608510942,996454.5446012
